,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance
685,Tecnifibre,Tecnifibre T-Rebound 298 IGA - 2021,98,27.0,11.0,4pts HL,319,23.0,0,71,16 Mains/19 Crosses,Head Light,4
686,Tecnifibre,Tecnifibre TF-X1 300 - 2021,100,27.0,11.1,4pts HL,323,24.0,0,71,16 Mains/19 Crosses,Head Light,4
687,Tecnifibre,Tecnifibre TF-X1 285 - 2021,100,27.0,10.5,2pts HL,316,24.0,0,71,16 Mains/19 Crosses,Head Light,2
688,Tecnifibre,Tecnifibre TF-X1 275 - 2021,105,27.0,10.2,1pts HL,310,25.5,0,69,16 Mains/19 Crosses,Head Light,1
689,Tecnifibre,Tecnifibre TF40 315 (16x19) - 2022,98,27.0,11.7,8pts HL,313,22.0,0,64,16 Mains/19 Crosses,Head Light,8
690,Tecnifibre,Tecnifibre TF40 305 (18x20) - 2022,98,27.0,11.4,3pts HL,328,22.0,0,64,18 Mains/20 Crosses,Head Light,3
691,Tecnifibre,Tecnifibre TF40 305 16x19 - 2022,98,27.0,11.3,3pts HL,321,22.0,0,64,16 Mains/19 Crosses,Head Light,3
692,Tecnifibre,Tecnifibre Tempo 298 IGA -2022,98,27.0,11.0,4pts HL,319,23.0,0,71,16 Mains/19 Crosses,Head Light,4
693,Volkl,Volkl Boris Becker 10,100,27.6,11.1,5pts HL,322,23.0,1,65,16 Mains/18 Crosses,Head Light,5
694,Volkl,Volkl DNX 10 Mid,93,27.0,12.0,12pts HL,331,19.0,0,58,16 Mains/19 Crosses,Head Light,1
699,Volkl,Volkl DNX 4,105,27.6,10.3,3pts HL,309,25.0,1,65,16 Mains/19 Crosses,Head Light,3
700,Volkl,Volkl Tour 8 V-Engine,100,27.6,10.9,6pts HL,315,24.0,0,69,16 Mains/18 Crosses,Head Light,6
705,Volkl,Volkl Tour 6 Generation II,100,27.0,10.4,4pts HL,300,24.0,0,61,16 Mains/18 Crosses,Head Light,4
