,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance
129,Wilson,Wilson Hyper Hammer 6.2 Oversize,110,27.5,9.6,6pts HH,318,27.0,1,63,16 Mains/20 Crosses,Head Heavy,6
130,Wilson,Wilson KZen,103,27.25,9.9,1pts HL,310,26.0,0,70,16 Mains/19 Crosses,Head Light,1
131,Wilson,Wilson nSix-Two Oversize,113,27.5,10.2,1pts HL,325,28.0,1,69,16 Mains/20 Crosses,Head Light,1
134,Wilson,Wilson KZen Team,103,27.25,10.2,1pts HH,312,26.0,1,70,16 Mains/19 Crosses,Head Heavy,1
137,Wilson,Wilson nFury Two Midplus,100,27.0,10.1,2pts HL,294,22.0,0,50,16 Mains/20 Crosses,Head Light,2
138,Wilson,Wilson  nSix-Two Midplus,100,27.0,10.5,4pts HL,302,26.0,0,65,16 Mains/19 Crosses,Head Light,4
139,Wilson,Wilson nSix-One 95,95,27.0,12.2,10pts HL,330,22.0,0,65,16 Mains/18 Crosses,Head Light,1
140,Wilson,Wilson KPro Open,100,27.0,11.0,5pts HL,306,26.0,0,66,16 Mains/19 Crosses,Head Light,5
141,Wilson,Wilson KBlade Tour,93,27.0,11.8,8pts HL,323,20.0,0,65,18 Mains/20 Crosses,Head Light,8
142,Wilson,Wilson KSix-One 95 (16x18),95,27.0,12.3,8pts HL,340,22.0,0,69,16 Mains/18 Crosses,Head Light,8
143,Wilson,Wilson Ksting,105,27.25,9.6,1pts HH,298,26.0,1,58,16 Mains/19 Crosses,Head Heavy,1
144,Wilson,Wilson KSurge,100,27.0,10.3,1pts HL,301,25.0,1,68,16 Mains/19 Crosses,Head Light,1
145,Wilson,Wilson KSix-One 95 (18x20),95,27.0,12.3,8pts HL,340,22.0,0,69,18 Mains/20 Crosses,Head Light,8
146,Wilson,Wilson  W4 Cobalt Storm,107,27.25,9.7,5pts HH,306,26.0,2,67,16 Mains/18 Crosses,Head Heavy,5
147,Wilson,Wilson  W4 Red Fury,107,27.25,9.7,5pts HH,306,26.0,2,67,16 Mains/18 Crosses,Head Heavy,5
148,Wilson,Wilson W4 Savage Lime,107,27.25,9.7,5pts HH,306,26.0,2,67,16 Mains/18 Crosses,Head Heavy,5
149,Wilson,Wilson  W4 Savage Saphire,107,27.25,9.7,5pts HH,306,26.0,2,67,16 Mains/18 Crosses,Head Heavy,5
150,Wilson,Wilson  W2 Black Whisper,117,27.5,9.5,6pts HH,318,27.0,2,65,16 Mains/18 Crosses,Head Heavy,6
151,Wilson,Wilson  W2 Blue Shadow,117,27.5,9.5,6pts HH,318,27.0,2,65,16 Mains/18 Crosses,Head Heavy,6
152,Wilson,Wilson  W2 Spicy Ruby,117,27.5,9.5,6pts HH,318,27.0,2,65,16 Mains/18 Crosses,Head Heavy,6
153,Wilson,Wilson KSix-One 95 X,95,27.5,12.3,7pts HL,360,22.0,0,68,16 Mains/18 Crosses,Head Light,7
154,Wilson,Wilson nPro ,98,27.0,11.0,4pts HL,308,23.0,0,68,18 Mains/18 Crosses,Head Light,4
155,Wilson,Wilson H Cyclone,115,27.9,9.2,12pts HH,343,29.0,2,74,16 Mains/19 Crosses,Head Heavy,1
156,Wilson,Wilson KPro Tour,96,27.0,11.4,8pts HL,300,24.0,0,62,16 Mains/20 Crosses,Head Light,8
157,Wilson,Wilson H Rival Oversize,112,27.5,9.0,8pts HH,318,28.0,2,67,16 Mains/20 Crosses,Head Heavy,8
158,Wilson,Wilson Pro Staff Trance Midplus,95,27.0,9.9,2pts HH,301,24.0,1,69,16 Mains/19 Crosses,Head Heavy,2
159,Wilson,Wilson nPro Open nCode,100,27.0,11.1,6pts HL,302,26.0,0,68,16 Mains/19 Crosses,Head Light,6
160,Wilson,Wilson KSix-One Tour 90,90,27.0,12.5,9pts HL,336,18.0,0,67,16 Mains/19 Crosses,Head Light,9
163,Wilson,Wilson Prostaff 6.0 Original 95,95,27.0,12.2,10pts HL,317,20.0,0,67,16 Mains/18 Crosses,Head Light,1
164,Wilson,Wilson nFury Oversize,110,27.5,9.6,0pts EB,303,26.0,1,67,16 Mains/19 Crosses,Head Heavy,0
165,Wilson,Wilson KOne,122,27.5,9.3,12pts HH,328,27.0,2,72,16 Mains/19 Crosses,Head Heavy,1
166,Wilson,Wilson Prostaff 6.0 Original 85,85,27.0,12.6,8pts HL,329,17.0,0,66,16 Mains/18 Crosses,Head Light,8
167,Wilson,Wilson nFury Two Oversize,110,27.5,9.6,0pts EB,295,26.0,1,66,16 Mains/19 Crosses,Head Heavy,0
169,Wilson,Wilson Pro Staff Trance Oversize,110,27.0,9.8,1pts HH,297,30.0,1,72,16 Mains/20 Crosses,Head Heavy,1
170,Wilson,Wilson Hyper Hammer 5.3 Stretch Oversize,110,27.5,9.0,8pts HH,301,25.0,1,70,16 Mains/20 Crosses,Head Heavy,8
179,Wilson,Wilson 3.2 Hammer PH Super Oversize,118,27.0,8.6,8pts HH,283,30.0,2,66,18 Mains/19 Crosses,Head Heavy,8
181,Wilson,Wilson 3.8 Power Holes Oversize,112,28.0,9.0,12pts HH,356,30.0,2,76,18 Mains/19 Crosses,Head Heavy,1
185,Wilson,Wilson 4.7 Prostaff Stretch EB Midplus,100,28.0,10.8,5pts HL,343,23.0,1,74,16 Mains/20 Crosses,Head Light,5
192,Wilson,Wilson 5.8 Hammer Midplus,95,27.0,10.4,4pts HH,327,21.0,1,67,16 Mains/18 Crosses,Head Heavy,4
193,Wilson,Wilson 5.8 Hammer Oversize,110,27.0,10.4,4pts HH,331,21.0,1,65,16 Mains/21 Crosses,Head Heavy,4
198,Wilson,Wilson 6.2 Hammer Stretch Midplus,95,28.0,9.8,5pts HH,337,26.0,0,62,16 Mains/20 Crosses,Head Heavy,5
200,Head,Head Flexpoint 6 Midplus,102,27.3,10.5,3pts HH,335,27.0,1,67,16 Mains/19 Crosses,Head Heavy,3
201,Head,Head LiquidMetal 4,102,27.25,10.7,1pts HH,335,25.0,1,67,16 Mains/19 Crosses,Head Heavy,1
202,Head,Head Flexpoint 6 Oversize,112,27.3,9.9,8pts HH,337,28.0,2,61,16 Mains/19 Crosses,Head Heavy,8
203,Head,Head FXP Prestige Team,102,27.0,10.9,0pts EB,324,21.0,0,57,18 Mains/19 Crosses,Head Heavy,0
204,Head,Head Flexpoint Radical Midplus - 2005,98,27.0,11.1,2pts HL,330,21.0,0,63,18 Mains/20 Crosses,Head Light,2
205,Head,Head FXP Flexpoint Radical Team - 2005,102,27.0,10.4,1pts HH,314,22.0,0,59,16 Mains/19 Crosses,Head Heavy,1
206,Head,Head Flexpoint Radical Oversize - 2005,107,27.0,11.3,4pts HL,334,21.0,0,58,18 Mains/19 Crosses,Head Light,4
207,Head,Head Flexpoint 4,107,27.5,10.3,1pts HH,327,27.0,1,67,16 Mains/19 Crosses,Head Heavy,1
208,Head,Head Protector Oversize,115,27.75,10.1,8pts HH,351,28.0,2,63,16 Mains/19 Crosses,Head Heavy,8
209,Head,Head Liquidmetal Radical OS - 2003,107,27.0,11.2,3pts HL,330,21.0,0,58,18 Mains/19 Crosses,Head Light,3
210,Head,Head Microgel Monster,102,27.0,10.4,3pts HH,320,25.0,0,66,16 Mains/19 Crosses,Head Heavy,3
211,Head,Head Liquidmetal Instinct - 2003,100,27.0,11.2,4pts HL,329,25.0,0,63,18 Mains/19 Crosses,Head Light,4
212,Head,Head Protector Midplus,102,27.5,9.7,6pts HH,322,26.0,1,65,16 Mains/19 Crosses,Head Heavy,6
213,Head,Head Flexpoint Instinct - 2005,100,27.0,11.2,3pts HL,331,25.0,0,65,18 Mains/19 Crosses,Head Light,3
214,Head,Head MicroGEL Radical MP - 2007,98,27.0,11.0,2pts HL,315,22.0,0,62,18 Mains/20 Crosses,Head Light,2
215,Head,Head Liquidmetal Radical MP - 2003,98,27.0,11.2,4pts HL,325,21.0,0,64,18 Mains/20 Crosses,Head Light,4
216,Head,Head LiquidMetal 5,107,27.25,9.5,7pts HH,323,27.0,2,64,16 Mains/19 Crosses,Head Heavy,7
217,Head,Head MicroGEL Radical Team - 2007,102,27.0,10.7,1pts HL,311,22.0,0,60,16 Mains/19 Crosses,Head Light,1
218,Head,Head Microgel Instinct - 2007,100,27.0,11.0,3pts HL,321,25.0,0,64,18 Mains/19 Crosses,Head Light,3
219,Head,Head Flexpoint Heat,102,27.0,10.7,2pts HL,316,22.0,0,62,18 Mains/19 Crosses,Head Light,2
220,Head,Head Microgel Extreme - 2007,100,27.25,11.2,6pts HL,320,26.0,0,68,16 Mains/19 Crosses,Head Light,6
221,Head,Head MicroGEL Radical OS - 2007,107,27.0,11.1,3pts HL,318,21.0,0,56,18 Mains/19 Crosses,Head Light,3
222,Head,Head Flexpoint Instinct Team - 2005,100,27.0,10.1,2pts HH,312,26.0,1,66,16 Mains/19 Crosses,Head Heavy,2
223,Head,Head Flexpoint Prestige Midplus XL - 2006,98,27.5,12.0,8pts HL,340,21.0,0,65,18 Mains/20 Crosses,Head Light,8
224,Head,Head Microgel Extreme Pro - 2007,100,27.0,11.8,7pts HL,332,26.0,0,68,16 Mains/19 Crosses,Head Light,7
225,Head,Head Liquidmetal Prestige Midplus - 2004,98,27.0,11.9,8pts HL,325,21.0,0,63,18 Mains/20 Crosses,Head Light,8
226,Head,Head Liquidmetal Prestige Mid - 2004,93,27.0,12.3,7pts HL,340,19.0,0,61,18 Mains/20 Crosses,Head Light,7
227,Head,Head Microgel Prestige Midplus - 2008,98,27.0,11.8,6pts HL,320,21.0,0,63,18 Mains/20 Crosses,Head Light,6
228,Head,Head MicroGEL Radical Pro - 2007,100,27.0,11.7,2pts HL,315,21.0,0,64,16 Mains/19 Crosses,Head Light,2
229,Head,Head Radical Agassi Limited Edition,107,27.0,12.1,6pts HL,338,21.0,0,63,18 Mains/19 Crosses,Head Light,6
230,Head,Head Metallix 2,102,27.3,9.8,4pts HH,305,24.0,1,68,16 Mains/19 Crosses,Head Heavy,4
231,Head,Head Microgel Extreme Team - 2007,107,27.0,10.1,3pts HL,298,26.0,0,57,16 Mains/19 Crosses,Head Light,3
232,Head,Head Microgel Mojo,100,27.0,10.4,0pts EB,301,22.0,0,62,18 Mains/19 Crosses,Head Heavy,0
233,Head,Head Microgel Prestige Mid - 2008,93,27.0,12.2,7pts HL,328,19.0,0,63,18 Mains/20 Crosses,Head Light,7
234,Head,Head Flexpoint Prestige Midplus - 2006,98,27.0,12.2,7pts HL,323,21.0,0,65,18 Mains/20 Crosses,Head Light,7
235,Head,Head Microgel Prestige Pro - 2008,98,27.0,12.1,7pts HL,316,21.0,0,63,16 Mains/20 Crosses,Head Light,7
236,Head,Head LiquidMetal 2,106,27.5,9.5,2pts HH,302,26.0,1,61,16 Mains/19 Crosses,Head Heavy,2
237,Head,Head Metallix 4,107,27.3,9.3,8pts HH,308,26.0,1,66,16 Mains/19 Crosses,Head Heavy,8
238,Head,Head Flexpoint Prestige Mid - 2006,93,27.0,12.2,7pts HL,323,19.0,0,65,18 Mains/20 Crosses,Head Light,7
240,Head,Head Flexpoint 10,121,27.5,9.1,10pts HH,316,31.0,2,65,16 Mains/19 Crosses,Head Heavy,1
241,Head,Head Metallix 6 OS,115,27.3,9.5,7pts HH,299,28.0,2,69,16 Mains/19 Crosses,Head Heavy,7
244,Head,Head Airflow 3,102,27.0,9.3,4pts HH,290,26.0,1,72,16 Mains/19 Crosses,Head Heavy,4
245,Head,Head Metallix 10,124,27.3,9.4,4pts HH,301,30.0,2,68,16 Mains/19 Crosses,Head Heavy,4
246,Head,Head Airflow 5,109,27.0,8.9,5pts HH,280,28.0,1,71,16 Mains/19 Crosses,Head Heavy,5
247,Head,Head Radical Junior,102,26.0,10.3,4pts HL,260,21.0,0,60,18 Mains/19 Crosses,Head Light,4
249,Head,Head Airflow 7,115,27.0,8.7,4pts HH,265,31.0,2,67,16 Mains/19 Crosses,Head Heavy,4
250,Head,Head Instinct Junior,100,26.0,9.2,4pts HL,237,25.0,0,65,18 Mains/19 Crosses,Head Light,4
251,Head,Head Classic Tour Midplus,102,27.0,12.1,5pts HL,336,21.0,0,61,18 Mains/19 Crosses,Head Light,5
252,Head,Head Classic Tour Midsize,93,27.0,12.1,6pts HL,320,19.0,0,59,18 Mains/20 Crosses,Head Light,6
254,Head,Head Intelligence i. Radical Midplus,98,27.0,10.8,2pts HL,297,21.0,0,64,18 Mains/20 Crosses,Head Light,2
255,Head,Head Intelligence i. Radical Oversize,107,27.0,11.0,4pts HL,302,21.0,0,62,18 Mains/19 Crosses,Head Light,4
256,Head,Head Intelligence i.Caliber,107,27.5,9.7,5pts HL,274,23.0,0,68,16 Mains/19 Crosses,Head Light,5
257,Head,Head Intelligence i.extreme Midplus,102,27.0,10.3,1pts HL,295,22.0,0,69,18 Mains/19 Crosses,Head Light,1
258,Head,Head Intelligence i.Junior,102,26.0,8.9,3pts HL,228,23.0,1,69,16 Mains/19 Crosses,Head Light,3
259,Head,Head Intelligence I.Prestige Midplus Standard - 2001,98,27.0,12.1,6pts HL,324,21.0,0,63,18 Mains/20 Crosses,Head Light,6
260,Head,Head Intelligence I.Prestige Midplus XL - 2001,98,27.5,11.8,9pts HL,327,21.0,0,62,18 Mains/20 Crosses,Head Light,9
261,Head,Head Intelligence I.Prestige Midsize - 2001,93,27.0,12.1,5pts HL,320,19.0,0,60,18 Mains/20 Crosses,Head Light,5
262,Head,Head Intelligence i.S1 Midplus,102,27.5,10.2,6pts HL,275,25.0,0,71,18 Mains/19 Crosses,Head Light,6
263,Head,Head Intelligence i.S1 Oversize,107,27.5,9.8,4pts HL,278,23.0,0,73,16 Mains/19 Crosses,Head Light,4
266,Head,Head Intelligence i.S2 Midplus,98,27.0,10.2,1pts HL,290,24.0,1,70,16 Mains/20 Crosses,Head Light,1
267,Head,Head Intelligence i.S2 Oversize,107,27.5,9.2,3pts HH,295,26.0,2,71,16 Mains/19 Crosses,Head Heavy,3
268,Head,Head Intelligence i.S4 Midplus,102,27.5,9.8,2pts HH,308,24.0,1,67,16 Mains/20 Crosses,Head Heavy,2
269,Head,Head Intelligence i.S4 Oversize,112,27.75,8.7,6pts HH,282,26.0,2,65,16 Mains/19 Crosses,Head Heavy,6
270,Head,Head Intelligence i.S6 Midplus,102,27.5,9.6,5pts HH,311,26.0,1,77,16 Mains/20 Crosses,Head Heavy,5
271,Head,Head Intelligence i.S6 Oversize,112,27.75,8.3,7pts HH,290,28.0,2,69,16 Mains/19 Crosses,Head Heavy,7
272,Head,Head Intelligence i.S9,112,27.75,9.8,1pts HH,314,28.0,2,73,16 Mains/19 Crosses,Head Heavy,1
273,Head,Head Intelligence i.speed Midplus,102,27.0,9.7,4pts HH,294,24.0,1,68,16 Mains/19 Crosses,Head Heavy,4
275,Head,Head Intelligence i.x Speed,102,27.0,9.8,4pts HH,300,24.0,1,69,16 Mains/19 Crosses,Head Heavy,4
276,Head,Head Intelligence i.x3 Midplus,98,27.0,10.5,3pts HL,304,24.0,1,71,16 Mains/20 Crosses,Head Light,3
277,Head,Head Intelligence i.x3 Oversize,107,27.5,9.9,2pts HH,316,26.0,2,70,16 Mains/19 Crosses,Head Heavy,2
278,Head,Head Intelligence i.x5 Midplus,102,27.5,10.1,1pts HH,302,24.0,1,66,16 Mains/20 Crosses,Head Heavy,1
279,Head,Head Intelligence i.x5 Oversize,107,27.75,9.5,4pts HH,315,26.0,2,65,16 Mains/19 Crosses,Head Heavy,4
280,Head,Head Intelligence i.x6 Midplus,102,27.5,9.8,6pts HH,316,26.0,1,73,16 Mains/20 Crosses,Head Heavy,6
281,Head,Head Intelligence i.x6 Oversize,112,27.75,9.2,5pts HH,305,28.5,2,69,16 Mains/19 Crosses,Head Heavy,5
282,Head,Head Intelligence ix.11,115,27.75,8.6,11pts HH,308,28.5,2,72,16 Mains/19 Crosses,Head Heavy,1
283,Head,Head Intelligence ix.16,118,28.0,9.2,2pts HH,300,28.5,2,67,16 Mains/19 Crosses,Head Heavy,2
284,Head,Head Liquidmetal Fire,102,27.3,10.5,0pts EB,320,25.0,0,67,16 Mains/19 Crosses,Head Heavy,0
285,Head,Head Liquidmetal Heat,102,27.3,10.3,4pts HL,298,25.0,0,64,18 Mains/19 Crosses,Head Light,4
286,Head,Head Liquidmetal Instinct Tour XL - 2003,100,27.5,11.8,10pts HL,336,25.0,0,63,18 Mains/19 Crosses,Head Light,1
287,Head,Head Premier Tour ,93,27.0,11.9,4pts HL,329,20.0,0,60,16 Mains/18 Crosses,Head Light,4
288,Head,Head Prestige Classic Midsize,93,27.0,12.3,7pts HL,323,19.0,0,60,18 Mains/20 Crosses,Head Light,7
290,Head,Head Pro Tour 280,97,27.0,12.0,6pts HL,327,20.0,0,58,18 Mains/20 Crosses,Head Light,6
294,Head,Head Radical Tour Oversize,110,27.0,11.8,6pts HL,332,21.0,0,61,18 Mains/20 Crosses,Head Light,6
298,Head,Head Ti.Classic,98,27.0,11.6,5pts HL,318,21.0,0,65,18 Mains/20 Crosses,Head Light,5
299,Head,Head Ti.Fire,102,27.0,9.7,7pts HH,311,24.0,0,64,18 Mains/19 Crosses,Head Heavy,7
304,Prince,Prince O3 Speedport White,100,27.0,11.2,2pts HL,326,25.0,0,64,16 Mains/19 Crosses,Head Light,2
305,Prince,Prince O3 Speedport Red,105,27.25,10.5,1pts HL,321,25.0,0,65,16 Mains/19 Crosses,Head Light,1
306,Prince,Prince  O3 Hybrid Shark Midplus,100,27.0,11.1,2pts HL,324,26.0,1,65,16 Mains/19 Crosses,Head Light,2
307,Prince,Prince O3 Tour Oversize,107,27.5,11.2,4pts HL,330,20.0,0,64,16 Mains/19 Crosses,Head Light,4
308,Prince,Prince O3 Hybrid Comp,102,27.0,10.8,3pts HL,318,24.0,1,63,16 Mains/19 Crosses,Head Light,3
310,Prince,Prince Triple Threat Warrior Midplus,97,27.0,11.3,5pts HL,325,23.0,0,67,16 Mains/20 Crosses,Head Light,5
311,Prince,Prince Ozone Four,110,27.5,10.3,2pts HH,328,27.0,2,68,16 Mains/19 Crosses,Head Heavy,2
313,Prince,Prince Triple Threat Warrior Oversize,107,27.5,11.2,6pts HL,315,23.0,0,67,16 Mains/19 Crosses,Head Light,6
314,Prince,Prince Ozone Seven,105,27.25,10.6,1pts HL,325,25.0,0,71,16 Mains/19 Crosses,Head Light,1
315,Prince,Prince O3 Hybrid Shark Oversize,110,27.5,10.3,1pts HL,322,28.0,1,65,16 Mains/19 Crosses,Head Light,1
316,Prince,Prince Ozone Tour MP,100,27.0,11.5,6pts HL,321,20.0,0,60,16 Mains/18 Crosses,Head Light,6
317,Prince,Prince Original O3 White,100,27.0,11.3,4pts HL,322,25.0,0,65,16 Mains/19 Crosses,Head Light,4
318,Prince,Prince O3 Hybrid Hornet Midplus,100,27.0,10.6,2pts HL,320,25.0,1,70,16 Mains/19 Crosses,Head Light,2
321,Prince,Prince Turbo Shark Oversize,110,27.5,10.4,0pts EB,325,28.0,2,69,16 Mains/19 Crosses,Head Heavy,0
322,Prince,Prince O3 Speedport Tour,97,27.0,11.7,7pts HL,328,21.0,0,65,16 Mains/18 Crosses,Head Light,7
323,Prince,Prince O3 Hybrid Spectrum Midplus,100,27.0,10.7,1pts HL,318,25.0,1,71,16 Mains/19 Crosses,Head Light,1
324,Prince,Prince Original O3 Red,105,27.25,10.5,3pts HL,314,26.0,0,68,16 Mains/19 Crosses,Head Light,3
325,Prince,Prince O3 Hybrid Tour,95,27.0,12.0,8pts HL,337,21.0,0,67,16 Mains/18 Crosses,Head Light,8
326,Prince,Prince O Scream Midplus,100,27.0,10.1,0pts EB,309,25.0,2,67,16 Mains/19 Crosses,Head Heavy,0
327,Prince,Prince O3 Speedport Pro White,100,27.0,11.7,5pts HL,330,25.0,0,67,18 Mains/19 Crosses,Head Light,5
328,Prince,Prince Tour Diablo Midplus,100,27.3,11.3,10pts HL,316,19.0,0,63,16 Mains/18 Crosses,Head Light,1
329,Prince,Prince O3 Tour Midsize,95,27.0,12.0,8pts HL,324,20.0,0,63,16 Mains/20 Crosses,Head Light,8
330,Prince,Prince O3 Speedport Gold,115,27.5,9.5,7pts HH,324,27.0,2,64,16 Mains/19 Crosses,Head Heavy,7
331,Prince,Prince Tour NXG Graphite Oversize,107,27.5,11.9,11pts HL,328,20.0,0,63,16 Mains/19 Crosses,Head Light,1
332,Prince,Prince Tour NXG Graphite Midplus,100,27.25,12.2,9pts HL,326,19.0,0,63,16 Mains/20 Crosses,Head Light,9
333,Prince,Prince Shark DB Midplus,100,27.0,10.5,1pts HL,306,28.0,1,67,16 Mains/19 Crosses,Head Light,1
334,Prince,Prince Graphite Longbody,100,28.0,11.6,13pts HL,321,19.0,0,63,16 Mains/18 Crosses,Head Light,1
335,Prince,Prince Graphite Classic Oversize,107,27.0,12.2,5pts HL,333,19.0,0,63,16 Mains/19 Crosses,Head Light,5
336,Prince,Prince O3 Hybrid Lite,109,27.0,9.7,6pts HH,315,28.0,2,68,16 Mains/19 Crosses,Head Heavy,6
337,Prince,Prince Tour Diablo Mid,93,27.0,12.2,9pts HL,331,19.0,0,66,16 Mains/20 Crosses,Head Light,9
338,Prince,Prince O3 Hybrid Hornet Oversize,110,27.0,10.1,2pts HH,316,28.0,1,72,16 Mains/19 Crosses,Head Heavy,2
339,Prince,Prince Original O3 Blue,110,27.5,10.1,2pts HL,308,26.0,1,66,16 Mains/19 Crosses,Head Light,2
340,Prince,Prince O3 Citron,110,27.5,10.1,2pts HL,308,26.0,1,66,16 Mains/19 Crosses,Head Light,2
341,Prince,Prince O Scream Oversize,110,27.0,9.9,2pts HH,311,27.0,2,68,16 Mains/19 Crosses,Head Heavy,2
342,Prince,Prince O3 Pink,118,27.5,10.0,7pts HH,330,30.0,2,74,16 Mains/19 Crosses,Head Heavy,7
343,Prince,Prince Tour NXG Graphite Mid,92,27.0,12.3,9pts HL,329,18.0,0,61,18 Mains/20 Crosses,Head Light,9
344,Prince,Prince Turbo Outlaw Oversize,110,27.5,10.2,0pts EB,311,26.0,1,70,16 Mains/19 Crosses,Head Heavy,0
345,Prince,Prince O3 Speedport Silver,118,27.5,9.5,8pts HH,330,30.0,2,71,16 Mains/19 Crosses,Head Heavy,8
346,Prince,Prince Shark DB Oversize,110,27.5,10.5,2pts HL,311,29.0,1,70,16 Mains/19 Crosses,Head Light,2
347,Prince,Prince Ozone Pro Tour MP,100,27.0,12.1,7pts HL,324,20.0,0,65,18 Mains/20 Crosses,Head Light,7
348,Prince,Prince Graphite Classic Midplus,93,27.0,12.1,8pts HL,328,19.0,0,66,14 Mains/18 Crosses,Head Light,8
349,Prince,Prince Air Freak Oversize,110,27.0,10.2,2pts HL,306,26.0,1,69,16 Mains/19 Crosses,Head Light,2
351,Prince,Prince Turbo Outlaw Midplus,100,27.0,10.2,1pts HL,300,26.0,1,72,16 Mains/20 Crosses,Head Light,1
353,Prince,Prince Ozone One,118,27.75,9.6,6pts HH,328,30.0,2,74,16 Mains/19 Crosses,Head Heavy,6
355,Prince,Prince Original O3 Silver,118,27.75,9.6,5pts HH,325,28.0,2,74,16 Mains/19 Crosses,Head Heavy,5
356,Prince,Prince O3 Hybrid Spectrum Oversize,110,27.0,9.8,0pts EB,300,25.0,1,68,16 Mains/19 Crosses,Head Heavy,0
357,Prince,Prince O3 Speedport Platinum,125,27.5,9.5,7pts HH,320,30.0,2,70,16 Mains/19 Crosses,Head Heavy,7
358,Prince,Prince EXO3 Red,105,27.25,10.5,1pts HL,321,25.0,1,67,16 Mains/19 Crosses,Head Light,1
359,Prince,Prince Tour NXG Graphite 26 Junior,100,26.0,8.7,5pts HH,253,22.0,0,60,16 Mains/18 Crosses,Head Heavy,5
360,Prince,Prince O3 Hybrid 26,100,26.0,8.2,8pts HH,251,25.0,1,66,16 Mains/19 Crosses,Head Heavy,8
361,Prince,Prince Shark 26 Junior,100,26.0,8.3,6pts HH,247,24.0,1,66,16 Mains/20 Crosses,Head Heavy,6
362,Prince,Prince Tour Diablo 25 Junior,100,25.0,8.6,4pts HH,227,20.0,2,48,16 Mains/18 Crosses,Head Heavy,4
363,Prince,Prince Air Freak Midplus,100,27.0,10.9,2pts HL,330,26.0,1,70,16 Mains/19 Crosses,Head Light,2
366,Prince,Prince Graphite Classic 20th Anniv. Midplus,93,27.0,12.0,8pts HL,317,19.0,0,65,14 Mains/18 Crosses,Head Light,8
367,Prince,Prince Graphite Classic 20th Anniv. Oversize,107,27.0,12.3,8pts HL,327,19.0,0,62,16 Mains/19 Crosses,Head Light,8
368,Prince,Prince Graphite II Oversize,107,27.0,12.3,8pts HL,330,22.0,0,66,16 Mains/19 Crosses,Head Light,8
370,Prince,Prince Michael Chang Titanium Midplus,95,28.0,11.4,8pts HL,351,20.0,1,65,14 Mains/18 Crosses,Head Light,8
371,Prince,Prince Michael Chang Titanium Oversize,107,28.0,11.6,8pts HL,360,20.0,1,63,16 Mains/19 Crosses,Head Light,8
377,Prince,Prince More Control DB 850 Oversize,107,27.25,11.1,9pts HL,300,23.0,1,69,16 Mains/19 Crosses,Head Light,9
381,Prince,Prince More Power 1150 S,115,27.5,9.7,1pts HL,316,28.0,1,74,16 Mains/19 Crosses,Head Light,1
382,Prince,Prince More Power 1500 S,120,27.75,9.9,2pts HH,333,28.0,2,74,16 Mains/20 Crosses,Head Heavy,2
384,Prince,Prince More Precision Oversize,107,27.25,11.0,7pts HL,309,20.0,0,68,16 Mains/19 Crosses,Head Light,7
389,Prince,Prince Precision 730,97,28.0,11.6,9pts HL,336,25.0,0,69,14 Mains/18 Crosses,Head Light,9
395,Prince,Prince Precision Equipe Midplus,95,27.0,12.6,10pts HL,339,22.0,0,72,16 Mains/19 Crosses,Head Light,1
397,Prince,Prince Precision Michael Chang Longbody Midplus,95,28.0,11.8,11pts HL,330,20.0,0,62,14 Mains/18 Crosses,Head Light,1
398,Prince,Prince Precision Michael Chang Longbody Oversize,107,28.0,11.1,4pts HL,346,20.0,0,59,16 Mains/19 Crosses,Head Light,4
399,Prince,Prince Precision Response 660,97,27.0,11.6,2pts HL,342,23.0,0,67,16 Mains/19 Crosses,Head Light,2
401,Dunlop,Dunlop M-Fil 200 Plus \'05,97,27.5,11.5,7pts HL,330,20.0,0,63,16 Mains/19 Crosses,Head Light,7
402,Dunlop,Dunlop M-Fil 300,98,27.0,10.9,3pts HL,317,21.5,0,61,16 Mains/19 Crosses,Head Light,3
403,Dunlop,Dunlop Aerogel 3Hundred,98,27.0,10.9,4pts HL,316,21.5,0,61,16 Mains/19 Crosses,Head Light,4
404,Dunlop,Dunlop Maxply McEnroe,98,27.0,11.3,3pts HL,327,21.0,0,68,16 Mains/19 Crosses,Head Light,3
405,Dunlop,Dunlop M-Fil 400,100,27.25,10.7,0pts EB,318,24.0,1,70,16 Mains/19 Crosses,Head Heavy,0
406,Dunlop,Dunlop  Aerogel 500 Tour,100,27.0,11.1,3pts HL,325,25.0,1,70,16 Mains/18 Crosses,Head Light,3
407,Dunlop,Dunlop Aerogel 2Hundred,95,27.0,11.9,8pts HL,331,20.0,0,61,18 Mains/20 Crosses,Head Light,8
408,Dunlop,Dunlop M-Fil 200,95,27.0,12.1,6pts HL,337,20.0,0,61,18 Mains/20 Crosses,Head Light,6
410,Dunlop,Dunlop Aerogel 6Hundred,105,27.25,10.1,1pts HH,310,26.0,1,69,16 Mains/19 Crosses,Head Heavy,1
411,Dunlop,Dunlop 200G XL,95,27.5,11.2,9pts HL,303,20.0,0,56,16 Mains/18 Crosses,Head Light,9
412,Dunlop,Dunlop  Aerogel 500,100,27.0,10.3,1pts HL,306,25.0,1,68,16 Mains/18 Crosses,Head Light,1
