Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern
Head,Head Microgel Extreme - 2007,100,27.25,11.20,6pts HL,320,26.0,Low-Medium,68,16 Mains/19 Crosses
Head,Head MicroGEL Radical OS - 2007,107,27.00,11.10,3pts HL,318,21.0,Low,56,18 Mains/19 Crosses
Head,Head Flexpoint Instinct Team - 2005,100,27.00,10.10,2pts HH,312,26.0,Low-Medium,66,16 Mains/19 Crosses
Head,Head Flexpoint Prestige Midplus XL - 2006,98,27.50,12.00,8pts HL,340,21.0,Low,65,18 Mains/20 Crosses
Head,Head Microgel Extreme Pro - 2007,100,27.00,11.80,7pts HL,332,26.0,Low-Medium,68,16 Mains/19 Crosses
Head,Head Liquidmetal Prestige Midplus - 2004,98,27.00,11.90,8pts HL,325,21.0,Low,63,18 Mains/20 Crosses
Head,Head Liquidmetal Prestige Mid - 2004,93,27.00,12.30,7pts HL,340,19.0,Low,61,18 Mains/20 Crosses
Head,Head Microgel Prestige Midplus - 2008,98,27.00,11.80,6pts HL,320,21.0,Low,63,18 Mains/20 Crosses
Head,Head MicroGEL Radical Pro - 2007,100,27.00,11.70,2pts HL,315,21.0,Low,64,16 Mains/19 Crosses
Head,Head Radical Agassi Limited Edition,107,27.00,12.10,6pts HL,338,21.0,Low-Medium,63,18 Mains/19 Crosses
Head,Head Metallix 2,102,27.30,9.80,4pts HH,305,24.0,Low-Medium,68,16 Mains/19 Crosses
Head,Head Microgel Extreme Team - 2007,107,27.00,10.10,3pts HL,298,26.0,Low-Medium,57,16 Mains/19 Crosses
Head,Head Microgel Mojo,100,27.00,10.40,0pts EB,301,22.0,Low,62,18 Mains/19 Crosses
Head,Head Microgel Prestige Mid - 2008,93,27.00,12.20,7pts HL,328,19.0,Low,63,18 Mains/20 Crosses
Head,Head Flexpoint Prestige Midplus - 2006,98,27.00,12.20,7pts HL,323,21.0,Low,65,18 Mains/20 Crosses
Head,Head Microgel Prestige Pro - 2008,98,27.00,12.10,7pts HL,316,21.0,Low,63,16 Mains/20 Crosses
Head,Head LiquidMetal 2,106,27.50,9.50,2pts HH,302,26.0,Medium,61,16 Mains/19 Crosses
Head,Head Metallix 4,107,27.30,9.30,8pts HH,308,26.0,Medium,66,16 Mains/19 Crosses
Head,Head Flexpoint Prestige Mid - 2006,93,27.00,12.20,7pts HL,323,19.0,Low,65,18 Mains/20 Crosses
Head,Head LiquidMetal 8,112,27.25,10.00,4pts HH,302,0.0,Medium-High,62,16 Mains/19 Crosses
Head,Head Flexpoint 10,121,27.50,9.10,10pts HH,316,31.0,High,65,16 Mains/19 Crosses
Head,Head Metallix 6 OS,115,27.30,9.50,7pts HH,299,28.0,High,69,16 Mains/19 Crosses
Head,Head Titanium TI.S6 - 1996,115,27.75,8.90,8pts HH,318,0.0,High,75,16 Mains/19 Crosses
Head,Head Airflow 1,102,27.00,9.20,5pts HH,295,0.0,Low-Medium,73,16 Mains/19 Crosses
Head,Head Airflow 3,102,27.00,9.30,4pts HH,290,26.0,Low-Medium,72,16 Mains/19 Crosses
Head,Head Metallix 10,124,27.30,9.40,4pts HH,301,30.0,High,68,16 Mains/19 Crosses
Head,Head Airflow 5,109,27.00,8.90,5pts HH,280,28.0,Medium,71,16 Mains/19 Crosses
Head,Head Radical Junior,102,26.00,10.30,4pts HL,260,21.0,Low-Medium,60,18 Mains/19 Crosses
Head,Head Intelligence i.S10,115,27.75,8.20,9pts HH,291,0.0,,75,14 Mains/17 Crosses
Head,Head Airflow 7,115,27.00,8.70,4pts HH,265,31.0,High,67,16 Mains/19 Crosses
Head,Head Instinct Junior,100,26.00,9.20,4pts HL,237,25.0,Low-Medium,65,18 Mains/19 Crosses
Head,Head Classic Tour Midplus,102,27.00,12.10,5pts HL,336,21.0,Low,61,18 Mains/19 Crosses
Head,Head Classic Tour Midsize,93,27.00,12.10,6pts HL,320,19.0,Low,59,18 Mains/20 Crosses
Head,Head Edgewood,85,27.00,13.30,3pts HL,343,0.0,Low,36,18 Mains/19 Crosses
Head,Head Intelligence i. Radical Midplus,98,27.00,10.80,2pts HL,297,21.0,Low,64,18 Mains/20 Crosses
Head,Head Intelligence i. Radical Oversize,107,27.00,11.00,4pts HL,302,21.0,Low,62,18 Mains/19 Crosses
Head,Head Intelligence i.Caliber,107,27.50,9.70,5pts HL,274,23.0,Low-Medium,68,16 Mains/19 Crosses
Head,Head Intelligence i.extreme Midplus,102,27.00,10.30,1pts HL,295,22.0,Low,69,18 Mains/19 Crosses
Head,Head Intelligence i.Junior,102,26.00,8.90,3pts HL,228,23.0,Medium,69,16 Mains/19 Crosses
Head,Head Intelligence I.Prestige Midplus Standard - 2001,98,27.00,12.10,6pts HL,324,21.0,Low,63,18 Mains/20 Crosses
Head,Head Intelligence I.Prestige Midplus XL - 2001,98,27.50,11.80,9pts HL,327,21.0,Low,62,18 Mains/20 Crosses
Head,Head Intelligence I.Prestige Midsize - 2001,93,27.00,12.10,5pts HL,320,19.0,Low,60,18 Mains/20 Crosses
Head,Head Intelligence i.S1 Midplus,102,27.50,10.20,6pts HL,275,25.0,Low-Medium,71,18 Mains/19 Crosses
Head,Head Intelligence i.S1 Oversize,107,27.50,9.80,4pts HL,278,23.0,Low-Medium,73,16 Mains/19 Crosses
Head,Head Intelligence i.S12,115,27.75,8.20,11pts HH,297,0.0,,70,14 Mains/17 Crosses
Head,Head Intelligence i.S18,121,28.50,9.10,2pts HL,292,0.0,,67,16 Mains/19 Crosses
Head,Head Intelligence i.S2 Midplus,98,27.00,10.20,1pts HL,290,24.0,Medium,70,16 Mains/20 Crosses
Head,Head Intelligence i.S2 Oversize,107,27.50,9.20,3pts HH,295,26.0,Medium-High,71,16 Mains/19 Crosses
Head,Head Intelligence i.S4 Midplus,102,27.50,9.80,2pts HH,308,24.0,Medium,67,16 Mains/20 Crosses
Head,Head Intelligence i.S4 Oversize,112,27.75,8.70,6pts HH,282,26.0,Medium-High,65,16 Mains/19 Crosses
Head,Head Intelligence i.S6 Midplus,102,27.50,9.60,5pts HH,311,26.0,Medium,77,16 Mains/20 Crosses
Head,Head Intelligence i.S6 Oversize,112,27.75,8.30,7pts HH,290,28.0,Medium-High,69,16 Mains/19 Crosses
Head,Head Intelligence i.S9,112,27.75,9.80,1pts HH,314,28.0,High,73,16 Mains/19 Crosses
Head,Head Intelligence i.speed Midplus,102,27.00,9.70,4pts HH,294,24.0,Low-Medium,68,16 Mains/19 Crosses
Head,Head Intelligence i.Tour,100,27.00,11.10,5pts HL,310,0.0,Low-Medium,67,18 Mains/19 Crosses
Head,Head Intelligence i.x Speed,102,27.00,9.80,4pts HH,300,24.0,Medium,69,16 Mains/19 Crosses
Head,Head Intelligence i.x3 Midplus,98,27.00,10.50,3pts HL,304,24.0,Medium,71,16 Mains/20 Crosses
Head,Head Intelligence i.x3 Oversize,107,27.50,9.90,2pts HH,316,26.0,Medium-High,70,16 Mains/19 Crosses
Head,Head Intelligence i.x5 Midplus,102,27.50,10.10,1pts HH,302,24.0,Medium,66,16 Mains/20 Crosses
Head,Head Intelligence i.x5 Oversize,107,27.75,9.50,4pts HH,315,26.0,Medium-High,65,16 Mains/19 Crosses
Head,Head Intelligence i.x6 Midplus,102,27.50,9.80,6pts HH,316,26.0,Medium,73,16 Mains/20 Crosses
Head,Head Intelligence i.x6 Oversize,112,27.75,9.20,5pts HH,305,28.5,Medium-High,69,16 Mains/19 Crosses
Head,Head Intelligence ix.11,115,27.75,8.60,11pts HH,308,28.5,Medium-High,72,16 Mains/19 Crosses
Head,Head Intelligence ix.16,118,28.00,9.20,2pts HH,300,28.5,High,67,16 Mains/19 Crosses
Head,Head Liquidmetal Fire,102,27.30,10.50,0pts EB,320,25.0,Low,67,16 Mains/19 Crosses
Head,Head Liquidmetal Heat,102,27.30,10.30,4pts HL,298,25.0,Low,64,18 Mains/19 Crosses
Head,Head Liquidmetal Instinct Tour XL - 2003,100,27.50,11.80,10pts HL,336,25.0,Low-Medium,63,18 Mains/19 Crosses
Head,Head Premier Tour ,93,27.00,11.90,4pts HL,329,20.0,Low,60,16 Mains/18 Crosses
Head,Head Prestige Classic Midsize,93,27.00,12.30,7pts HL,323,19.0,Low,60,18 Mains/20 Crosses
Head,Head Prestige Tour,93,27.00,12.10,11pts HL,311,0.0,,58,18 Mains/20 Crosses
Head,Head Pro Tour 280,97,27.00,12.00,6pts HL,327,20.0,Low,58,18 Mains/20 Crosses
Head,Head Radical Tour Midplus XL,98,28.00,12.30,9pts HL,369,0.0,,57,0 Mains/0 Crosses
Head,Head Radical Tour MP,97,27.00,12.20,7pts HL,339,0.0,,58,18 Mains/20 Crosses
Head,Head Radical Tour OS XL,107,28.00,12.20,10pts HL,359,0.0,,53,18 Mains/19 Crosses
Head,Head Radical Tour Oversize,110,27.00,11.80,6pts HL,332,21.0,Low,61,18 Mains/20 Crosses
Head,Head Satellite Tour MP,102,27.00,11.80,10pts HL,314,0.0,,54,18 Mains/19 Crosses
Head,Head Satellite Tour MP XL,102,28.00,11.80,11pts HL,341,0.0,,54,18 Mains/19 Crosses
Head,Head Supreme Competition MP,102,27.00,10.40,4pts HH,318,0.0,,63,18 Mains/19 Crosses
Head,Head Ti.Classic,98,27.00,11.60,5pts HL,318,21.0,Low,65,18 Mains/20 Crosses
Head,Head Ti.Fire,102,27.00,9.70,7pts HH,311,24.0,Low,64,18 Mains/19 Crosses
Prince,Prince O3 Speedport Blue,110,27.50,10.40,2pts HH,340,0.0,,65,16 Mains/19 Crosses
Prince,Prince Triple Threat Bandit Midplus,95,27.00,10.10,4pts HH,332,0.0,Medium,70,16 Mains/19 Crosses
Prince,Prince Turbo Shark Midplus,100,27.00,11.10,2pts HL,327,0.0,Medium,64,16 Mains/19 Crosses
Prince,Prince Triple Threat Bandit Oversize,110,27.50,9.90,6pts HH,337,0.0,Medium,67,16 Mains/19 Crosses
Prince,Prince O3 Speedport White,100,27.00,11.20,2pts HL,326,25.0,Low-Medium,64,16 Mains/19 Crosses
Prince,Prince O3 Speedport Red,105,27.25,10.50,1pts HL,321,25.0,Low-Medium,65,16 Mains/19 Crosses
Prince,Prince  O3 Hybrid Shark Midplus,100,27.00,11.10,2pts HL,324,26.0,Medium,65,16 Mains/19 Crosses
Prince,Prince O3 Tour Oversize,107,27.50,11.20,4pts HL,330,20.0,Low,64,16 Mains/19 Crosses
Prince,Prince O3 Hybrid Comp,102,27.00,10.80,3pts HL,318,24.0,Medium,63,16 Mains/19 Crosses
Prince,Prince O3 Tour MP,100,27.00,11.60,7pts HL,327,0.0,Low-Medium,61,16 Mains/18 Crosses
Prince,Prince Triple Threat Warrior Midplus,97,27.00,11.30,5pts HL,325,23.0,Low-Medium,67,16 Mains/20 Crosses
Prince,Prince Ozone Four,110,27.50,10.30,2pts HH,328,27.0,Medium-High,68,16 Mains/19 Crosses
Prince,Prince Air DB Oversize,110,27.50,10.30,1pts HL,323,0.0,Low-Medium,65,16 Mains/19 Crosses
Prince,Prince Triple Threat Warrior Oversize,107,27.50,11.20,6pts HL,315,23.0,Low-Medium,67,16 Mains/19 Crosses
Prince,Prince Ozone Seven,105,27.25,10.60,1pts HL,325,25.0,Low-Medium,71,16 Mains/19 Crosses
Prince,Prince O3 Hybrid Shark Oversize,110,27.50,10.30,1pts HL,322,28.0,Medium,65,16 Mains/19 Crosses
Prince,Prince Ozone Tour MP,100,27.00,11.50,6pts HL,321,20.0,Low,60,16 Mains/18 Crosses
Prince,Prince Original O3 White,100,27.00,11.30,4pts HL,322,25.0,Low-Medium,65,16 Mains/19 Crosses
Prince,Prince O3 Hybrid Hornet Midplus,100,27.00,10.60,2pts HL,320,25.0,Medium,70,16 Mains/19 Crosses
Prince,Prince Air DB Midplus,100,27.00,10.50,0pts EB,315,0.0,Low,68,16 Mains/20 Crosses
Prince,Prince O3 Speedport Black,100,27.00,11.30,5pts HL,327,22.0,,70,16 Mains/19 Crosses
Prince,Prince Turbo Shark Oversize,110,27.50,10.40,0pts EB,325,28.0,Medium-High,69,16 Mains/19 Crosses
Prince,Prince O3 Speedport Tour,97,27.00,11.70,7pts HL,328,21.0,Low-Medium,65,16 Mains/18 Crosses
Prince,Prince O3 Hybrid Spectrum Midplus,100,27.00,10.70,1pts HL,318,25.0,Medium,71,16 Mains/19 Crosses
Prince,Prince Original O3 Red,105,27.25,10.50,3pts HL,314,26.0,Low-Medium,68,16 Mains/19 Crosses
Prince,Prince O3 Hybrid Tour,95,27.00,12.00,8pts HL,337,21.0,Low,67,16 Mains/18 Crosses
Prince,Prince O Scream Midplus,100,27.00,10.10,0pts EB,309,25.0,Medium-High,67,16 Mains/19 Crosses
Prince,Prince O3 Speedport Pro White,100,27.00,11.70,5pts HL,330,25.0,Low-Medium,67,18 Mains/19 Crosses
Prince,Prince Tour Diablo Midplus,100,27.30,11.30,10pts HL,316,19.0,Low,63,16 Mains/18 Crosses
Prince,Prince O3 Tour Midsize,95,27.00,12.00,8pts HL,324,20.0,Low,63,16 Mains/20 Crosses
Prince,Prince O3 Speedport Gold,115,27.50,9.50,7pts HH,324,27.0,High,64,16 Mains/19 Crosses
Prince,Prince Tour NXG Graphite Oversize,107,27.50,11.90,11pts HL,328,20.0,Low,63,16 Mains/19 Crosses
Prince,Prince Tour NXG Graphite Midplus,100,27.25,12.20,9pts HL,326,19.0,Low,63,16 Mains/20 Crosses
Prince,Prince Shark DB Midplus,100,27.00,10.50,1pts HL,306,28.0,Medium,67,16 Mains/19 Crosses
Prince,Prince Graphite Longbody,100,28.00,11.60,13pts HL,321,19.0,Low,63,16 Mains/18 Crosses
Prince,Prince Graphite Classic Oversize,107,27.00,12.20,5pts HL,333,19.0,Low-Medium,63,16 Mains/19 Crosses
Prince,Prince O3 Hybrid Lite,109,27.00,9.70,6pts HH,315,28.0,Medium-High,68,16 Mains/19 Crosses
Prince,Prince Tour Diablo Mid,93,27.00,12.20,9pts HL,331,19.0,Low,66,16 Mains/20 Crosses
Prince,Prince O3 Hybrid Hornet Oversize,110,27.00,10.10,2pts HH,316,28.0,Medium,72,16 Mains/19 Crosses
Prince,Prince Original O3 Blue,110,27.50,10.10,2pts HL,308,26.0,Medium-High,66,16 Mains/19 Crosses
Prince,Prince O3 Citron,110,27.50,10.10,2pts HL,308,26.0,Medium-High,66,16 Mains/19 Crosses
Prince,Prince O Scream Oversize,110,27.00,9.90,2pts HH,311,27.0,Medium-High,68,16 Mains/19 Crosses
Prince,Prince O3 Pink,118,27.50,10.00,7pts HH,330,30.0,High,74,16 Mains/19 Crosses
Prince,Prince Tour NXG Graphite Mid,92,27.00,12.30,9pts HL,329,18.0,Low,61,18 Mains/20 Crosses
Prince,Prince Turbo Outlaw Oversize,110,27.50,10.20,0pts EB,311,26.0,Medium,70,16 Mains/19 Crosses
Prince,Prince O3 Speedport Silver,118,27.50,9.50,8pts HH,330,30.0,High,71,16 Mains/19 Crosses
Prince,Prince Shark DB Oversize,110,27.50,10.50,2pts HL,311,29.0,Medium-High,70,16 Mains/19 Crosses
Prince,Prince Ozone Pro Tour MP,100,27.00,12.10,7pts HL,324,20.0,Low,65,18 Mains/20 Crosses
Prince,Prince Graphite Classic Midplus,93,27.00,12.10,8pts HL,328,19.0,Low,66,14 Mains/18 Crosses
Prince,Prince Air Freak Oversize,110,27.00,10.20,2pts HL,306,26.0,Medium,69,16 Mains/19 Crosses
Prince,Prince Triple Threat Scream Oversize,110,27.50,10.00,0pts EB,305,0.0,Medium,68,16 Mains/19 Crosses
Prince,Prince Turbo Outlaw Midplus,100,27.00,10.20,1pts HL,300,26.0,Medium,72,16 Mains/20 Crosses
Prince,Prince Thunder Cloud Titanium,110,27.50,9.80,0pts EB,304,0.0,Medium,68,16 Mains/19 Crosses
Prince,Prince Ozone One,118,27.75,9.60,6pts HH,328,30.0,High,74,16 Mains/19 Crosses
Prince,Prince Air Vanquish Oversize,110,27.00,10.30,1pts HH,307,0.0,Medium-High,73,16 Mains/19 Crosses
Prince,Prince Original O3 Silver,118,27.75,9.60,5pts HH,325,28.0,High,74,16 Mains/19 Crosses
Prince,Prince O3 Hybrid Spectrum Oversize,110,27.00,9.80,0pts EB,300,25.0,Medium,68,16 Mains/19 Crosses
Prince,Prince O3 Speedport Platinum,125,27.50,9.50,7pts HH,320,30.0,High,70,16 Mains/19 Crosses
Prince,Prince EXO3 Red,105,27.25,10.50,1pts HL,321,25.0,Medium,67,16 Mains/19 Crosses
Prince,Prince Tour NXG Graphite 26 Junior,100,26.00,8.70,5pts HH,253,22.0,Low,60,16 Mains/18 Crosses
Prince,Prince O3 Hybrid 26,100,26.00,8.20,8pts HH,251,25.0,Medium,66,16 Mains/19 Crosses
Prince,Prince Shark 26 Junior,100,26.00,8.30,6pts HH,247,24.0,Medium,66,16 Mains/20 Crosses
Prince,Prince Tour Diablo 25 Junior,100,25.00,8.60,4pts HH,227,20.0,High,48,16 Mains/18 Crosses
Prince,Prince Air Freak Midplus,100,27.00,10.90,2pts HL,330,26.0,Medium,70,16 Mains/19 Crosses
Prince,Prince Air Vanquish Midplus,100,27.00,10.90,1pts HL,325,0.0,Medium,70,16 Mains/19 Crosses
Prince,Prince CTS Synergy 28 Midplus,100,27.00,12.10,7pts HL,335,0.0,,70,16 Mains/18 Crosses
Prince,Prince Graphite Classic 20th Anniv. Midplus,93,27.00,12.00,8pts HL,317,19.0,Low,65,14 Mains/18 Crosses
Prince,Prince Graphite Classic 20th Anniv. Oversize,107,27.00,12.30,8pts HL,327,19.0,Low-Medium,62,16 Mains/19 Crosses
Prince,Prince Graphite II Oversize,107,27.00,12.30,8pts HL,330,22.0,Low-Medium,66,16 Mains/19 Crosses
Prince,Prince Mach 1000,124,29.00,9.80,2pts HH,347,0.0,,59,16 Mains/21 Crosses
Prince,Prince Michael Chang Titanium Midplus,95,28.00,11.40,8pts HL,351,20.0,Medium,65,14 Mains/18 Crosses
Prince,Prince Michael Chang Titanium Oversize,107,28.00,11.60,8pts HL,360,20.0,Medium,63,16 Mains/19 Crosses
Prince,Prince More Approach,105,27.50,10.20,1pts HL,315,0.0,Low-Medium,69,16 Mains/19 Crosses
Prince,Prince More Attack S 1050 Oversize,110,27.50,10.50,4pts HL,323,0.0,Medium-High,65,16 Mains/19 Crosses
Prince,Prince More Attack S 920 Midplus,100,27.25,11.00,7pts HL,320,0.0,Medium,65,16 Mains/20 Crosses
Prince,Prince More Balance 950,100,27.25,10.70,1pts HL,326,0.0,Medium-High,77,16 Mains/20 Crosses
Prince,Prince More Control DB 800 Midplus,97,27.00,11.40,5pts HL,322,0.0,,71,16 Mains/20 Crosses
Prince,Prince More Control DB 850 Oversize,107,27.25,11.10,9pts HL,300,23.0,Medium,69,16 Mains/19 Crosses
Prince,Prince More Dominant,120,28.00,9.30,4pts HH,316,0.0,,75,16 Mains/20 Crosses
Prince,Prince More Game Midplus,100,27.50,10.00,6pts HH,333,0.0,,80,16 Mains/20 Crosses
Prince,Prince More Game Oversize,110,27.50,9.70,4pts HH,300,0.0,Medium,75,16 Mains/19 Crosses
Prince,Prince More Power 1150 S,115,27.50,9.70,1pts HL,316,28.0,Medium-High,74,16 Mains/19 Crosses
Prince,Prince More Power 1500 S,120,27.75,9.90,2pts HH,333,28.0,Medium-High,74,16 Mains/20 Crosses
Prince,Prince More Precision Midplus,95,27.00,11.50,7pts HL,314,0.0,,66,16 Mains/19 Crosses
Prince,Prince More Precision Oversize,107,27.25,11.00,7pts HL,309,20.0,Low,68,16 Mains/19 Crosses
Prince,Prince More Response Midplus,100,27.25,11.10,4pts HL,318,0.0,,71,16 Mains/20 Crosses
Prince,Prince More Response Oversize,110,27.50,10.80,6pts HL,312,0.0,Medium,70,16 Mains/19 Crosses
Prince,Prince More Thunder,115,27.50,9.60,5pts HH,314,0.0,,76,16 Mains/20 Crosses
Prince,Prince Precision 720,100,28.00,12.00,12pts HL,336,0.0,,63,0 Mains/0 Crosses
Prince,Prince Precision 730,97,28.00,11.60,9pts HL,336,25.0,Low,69,14 Mains/18 Crosses
Prince,Prince Precision 770,108,28.00,11.80,1pts HL,343,0.0,Low,62,16 Mains/19 Crosses
Prince,Prince Precision Approach Titanium Midplus,95,27.50,11.50,6pts HL,338,0.0,,60,16 Mains/19 Crosses
Prince,Prince Precision Approach Titanium Oversize,110,27.50,11.60,5pts HL,342,0.0,Low,62,18 Mains/20 Crosses
Prince,Prince Precision Equipe Longbody Midplus,95,28.00,11.50,8pts HL,361,0.0,Medium,72,16 Mains/19 Crosses
Prince,Prince Precision Equipe Longbody Oversize,110,28.00,11.50,7pts HL,352,0.0,Medium,70,18 Mains/21 Crosses
Prince,Prince Precision Equipe Midplus,95,27.00,12.60,10pts HL,339,22.0,Low-Medium,72,16 Mains/19 Crosses
Prince,Prince Precision Equipe Oversize,110,27.00,12.10,7pts HL,338,0.0,Medium,67,18 Mains/21 Crosses
Prince,Prince Precision Michael Chang Longbody Midplus,95,28.00,11.80,11pts HL,330,20.0,Low,62,14 Mains/18 Crosses
Prince,Prince Precision Michael Chang Longbody Oversize,107,28.00,11.10,4pts HL,346,20.0,Low,59,16 Mains/19 Crosses
Prince,Prince Precision Response 660,97,27.00,11.60,2pts HL,342,23.0,Low,67,16 Mains/19 Crosses
Dunlop,Dunlop Super Revelation Midplus,95,27.00,12.60,108pts HL,329,0.0,,68,16 Mains/19 Crosses
"[""Dunlop",Dunlop M-Fil 200 Plus \'05,97,27.50,11.50,7pts HL,330,20.0,Low-Medium,63,16 Mains/19 Crosses
Dunlop,Dunlop M-Fil 300,98,27.00,10.90,3pts HL,317,21.5,Low-Medium,61,16 Mains/19 Crosses
Dunlop,Dunlop Aerogel 3Hundred,98,27.00,10.90,4pts HL,316,21.5,Low-Medium,61,16 Mains/19 Crosses
Dunlop,Dunlop Maxply McEnroe,98,27.00,11.30,3pts HL,327,21.0,Low-Medium,68,16 Mains/19 Crosses
Dunlop,Dunlop M-Fil 400,100,27.25,10.70,0pts EB,318,24.0,Low-Medium,70,16 Mains/19 Crosses
Dunlop,Dunlop  Aerogel 500 Tour,100,27.00,11.10,3pts HL,325,25.0,Medium,70,16 Mains/18 Crosses
Dunlop,Dunlop Aerogel 2Hundred,95,27.00,11.90,8pts HL,331,20.0,Low,61,18 Mains/20 Crosses
Dunlop,Dunlop M-Fil 200,95,27.00,12.10,6pts HL,337,20.0,Low-Medium,61,18 Mains/20 Crosses
Dunlop,Dunlop M-Fil 500,105,27.25,9.90,1pts HH,311,0.0,Medium,67,16 Mains/19 Crosses
Dunlop,Dunlop Aerogel 6Hundred,105,27.25,10.10,1pts HH,310,26.0,Medium,69,16 Mains/19 Crosses
Dunlop,Dunlop 200G XL,95,27.50,11.20,9pts HL,303,20.0,Low-Medium,56,16 Mains/18 Crosses
Dunlop,Dunlop  Aerogel 500,100,27.00,10.30,1pts HL,306,25.0,Medium,68,16 Mains/18 Crosses
"[""Dunlop",Dunlop M-Fil 200 Plus \'06,97,27.00,11.40,7pts HL,309,20.0,Low,64,16 Mains/19 Crosses
Dunlop,Dunlop 300G MP,98,27.00,10.80,4pts HL,300,21.5,Low-Medium,64,16 Mains/19 Crosses
Dunlop,Dunlop Roland Garros Racing,100,27.00,10.30,3pts HL,300,21.0,Low-Medium,68,16 Mains/19 Crosses
Dunlop,Dunlop Aerogel 8Hundred,110,27.50,9.50,6pts HH,312,30.0,Medium-High,70,16 Mains/19 Crosses
Dunlop,Dunlop M-Fil 600,108,27.50,9.80,0pts EB,304,0.0,High,68,16 Mains/19 Crosses
Dunlop,Dunlop 600G I.C.E.,102,27.00,10.10,4pts HH,301,0.0,Medium,71,16 Mains/19 Crosses
Dunlop,Dunlop Aerogel 9Hundred,113,27.50,9.60,2pts HH,310,0.0,High,72,16 Mains/19 Crosses
Dunlop,Dunlop Aerogel 7Hundred,108,27.25,9.60,0pts EB,301,0.0,Medium-High,71,16 Mains/19 Crosses
Dunlop,Dunlop M-Fil Lady,108,27.50,9.80,0pts EB,296,27.0,High,69,16 Mains/19 Crosses
Dunlop,Dunlop Aerogel 1000,118,27.50,9.20,7pts HH,312,32.0,High,69,16 Mains/19 Crosses
Dunlop,Dunlop Super Revelation Oversize,108,27.00,10.00,1pts HH,289,0.0,Medium,65,18 Mains/20 Crosses
Dunlop,Dunlop 200G 26,95,26.00,9.90,1pts HL,257,20.0,Low-Medium,61,18 Mains/20 Crosses
Dunlop,Dunlop 300G Junior,98,26.00,9.50,1pts HL,249,21.5,Low-Medium,60,16 Mains/19 Crosses
Dunlop,Dunlop 200G 95,95,27.00,11.90,5pts HL,316,20.0,Low-Medium,60,18 Mains/20 Crosses
Dunlop,Dunlop 300G Oversize,105,27.50,10.60,4pts HL,302,22.0,Medium,57,18 Mains/20 Crosses
Dunlop,Dunlop 400G,100,27.25,10.60,8pts HL,285,24.0,Low-Medium,62,16 Mains/19 Crosses
Dunlop,Dunlop 500G,102,27.00,10.20,6pts HL,278,0.0,Medium,70,16 Mains/19 Crosses
Dunlop,Dunlop 700G,110,27.50,10.60,6pts HL,305,0.0,Medium-High,70,16 Mains/19 Crosses
Dunlop,Dunlop 800G I.C.E,110,27.50,9.90,4pts HH,313,0.0,High,71,16 Mains/19 Crosses
Dunlop,Dunlop 900G,114,27.50,9.50,0pts EB,276,0.0,High,71,16 Mains/19 Crosses
Dunlop,Dunlop Abzorber Midplus,98,27.00,10.40,1pts HH,317,0.0,Medium,71,16 Mains/19 Crosses
Dunlop,Dunlop Abzorber Oversize,108,27.50,10.10,3pts HH,315,0.0,Medium,65,18 Mains/20 Crosses
Dunlop,Dunlop Adrenaline Rush 108,108,27.50,10.60,13pts HL,291,27.0,Medium-High,63,16 Mains/19 Crosses
Dunlop,Dunlop Adrenaline Rush 98,98,27.00,10.40,9pts HL,284,26.0,Medium,71,16 Mains/19 Crosses
Dunlop,Dunlop Adrenaline Surge108,108,27.50,10.70,12pts HL,297,27.0,Medium-High,65,16 Mains/19 Crosses
Dunlop,Dunlop Dunlop Spirit Midplus,100,27.00,10.20,1pts HL,304,24.0,Medium,69,16 Mains/19 Crosses
Dunlop,Dunlop Dunlop Sprit Oversize,110,27.50,9.60,0pts EB,283,26.0,Medium,60,16 Mains/19 Crosses
Dunlop,Dunlop Inferno Oversize,110,27.50,9.40,4pts HH,298,30.0,Medium-High,75,16 Mains/19 Crosses
Dunlop,Dunlop Max 108,108,27.50,8.80,7pts HH,300,0.0,,68,16 Mains/20 Crosses
Dunlop,Dunlop Max 115,115,27.75,8.70,7pts HH,301,0.0,,67,18 Mains/20 Crosses
Dunlop,Dunlop Max Superlong +1.00 OS,105,28.00,10.30,2pts HH,347,0.0,,71,16 Mains/19 Crosses
Dunlop,Dunlop Max Superlong +1.50,110,28.50,0.00,0pts EB,353,0.0,,71,0 Mains/0 Crosses
Dunlop,Dunlop Max Tech Midplus,95,27.00,9.90,3pts HH,312,26.0,Medium-High,73,16 Mains/19 Crosses
Dunlop,Dunlop Max Tech OS,110,27.00,9.80,5pts HH,315,0.0,,68,16 Mains/20 Crosses
Dunlop,Dunlop M-Fil 700,110,27.50,9.90,4pts HH,330,0.0,Medium-High,70,16 Mains/19 Crosses
Dunlop,Dunlop Muscle Weave 200g 100,100,27.50,11.60,7pts HL,335,22.0,Medium,64,18 Mains/20 Crosses
Dunlop,Dunlop Muscle Weave 200g 95,95,27.00,12.00,7pts HL,315,20.0,Low-Medium,59,18 Mains/20 Crosses
Dunlop,Dunlop Muscle Weave 200g Oversize,108,27.50,9.50,6pts HH,316,27.0,Medium-High,71,18 Mains/20 Crosses
Dunlop,Dunlop Quadro Midplus,102,27.25,10.10,1pts HL,300,26.0,Medium-High,65,16 Mains/19 Crosses
