,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
77,Babolat,Babolat Aero Storm Cortex,98,27,11.1,4pts HL,325,21,0,65,16 Mains/20 Crosses,Head Light,4,Classic
78,Babolat,Babolat Pure Storm Tour+ GT,98,27.5,12.1,8pts HL,349,21,0,61,16 Mains/20 Crosses,Head Light,8,Classic
79,Babolat,Babolat Pure Storm GT,98,27,11,1pts HL,327,21,0,63,16 Mains/20 Crosses,Head Light,1,Classic
80,Babolat,Babolat Pure Storm Tour GT,98,27,12.1,8pts HL,333,21,0,64,16 Mains/20 Crosses,Head Light,8,Classic
81,Babolat,Babolat Drive Z 110,110,27.5,9.8,3pts HH,317,27,2,64,16 Mains/20 Crosses,Head Heavy,3,Classic
82,Babolat,Babolat Pure Drive Lite GT,100,27,10.5,2pts HL,309,25,1,67,16 Mains/19 Crosses,Head Light,2,Classic
83,Babolat,Babolat Pure Drive Roddick GT Plus,100,27.5,11.7,7pts HL,336,26,0,71,16 Mains/19 Crosses,Head Light,7,Classic
84,Babolat,Babolat Aero Storm Tour Cortex,98,27,12.1,6pts HL,340,21,0,66,16 Mains/20 Crosses,Head Light,6,Classic
85,Babolat,Babolat Pure Drive GT Plus,100,27.5,11.2,6pts HL,330,25,0,70,16 Mains/19 Crosses,Head Light,6,Classic
86,Babolat,Babolat Y 112 LTD,112,27.5,10.2,3pts HH,328,23,2,68,16 Mains/19 Crosses,Head Heavy,3,Classic
87,Babolat,Babolat Y 112,112,27.5,9.6,7pts HH,324,23,2,66,16 Mains/79 Crosses,Head Heavy,7,Classic
88,Babolat,Babolat Y 112 Smart Grip,112,27.5,9.6,4pts HH,324,23,2,66,16 Mains/19 Crosses,Head Heavy,4,Classic
89,Babolat,Babolat Y 118,118,27.5,9.6,6pts HH,321,23,2,67,16 Mains/19 Crosses,Head Heavy,6,Classic
90,Babolat,Babolat Y 118 Smart Grip,118,27.5,9.6,6pts HH,321,23,2,67,16 Mains/19 Crosses,Head Heavy,6,Classic
91,Babolat,Babolat AeroPro Drive GT,100,27,11.3,4pts HL,331,26,0,70,16 Mains/19 Crosses,Head Light,4,Classic
92,Babolat,Babolat AeroPro Lite GT,100,27,9.9,3pts HH,315,26,1,72,16 Mains/19 Crosses,Head Heavy,3,Classic
93,Babolat,Babolat Aero Storm GT,98,27,11.4,3pts HL,334,21.5,0,67,16 Mains/20 Crosses,Head Light,3,Classic
94,Babolat,Babolat Aero Storm Tour GT,98,27,11.9,6pts HL,330,21.5,0,68,16 Mains/20 Crosses,Head Light,6,Classic
95,Babolat,Babolat AeroPro Team GT,100,27,10.6,0pts EB,315,26.5,1,69,16 Mains/19 Crosses,Head Heavy,0,Classic
96,Babolat,Babolat AeroPro Drive GT Plus,100,27.5,11.2,6pts HL,339,26,0,69,16 Mains/19 Crosses,Head Light,6,Classic
97,Babolat,Babolat XS 102,102,27,10.1,5pts HH,328,30,2,66,16 Mains/20 Crosses,Head Heavy,5,Classic
98,Babolat,Babolat XS 109,109,27.2,9.5,7pts HH,325,33,1,61,16 Mains/20 Crosses,Head Heavy,7,Classic
99,Babolat,Babolat Pure Drive Roddick Junior 26 (Even),100,26,9.4,2pts HH,271,26,1,66,16 Mains/19 Crosses,Head Heavy,2,Classic
100,Wilson,Wilson KFive 98,98,27.25,10.3,8pts HH,345,26,1,51,16 Mains/20 Crosses,Head Heavy,8,Classic
101,Wilson,Wilson KFive 108,108,27.25,10.3,9pts HH,346,26,2,50,16 Mains/20 Crosses,Head Heavy,9,Classic
102,Wilson,Wilson n5 Force Oversize,110,27.25,10.1,10pts HH,335,26.5,1,55,16 Mains/20 Crosses,Head Heavy,1,Classic
103,Wilson,Wilson nTour 105,105,27.25,10.5,2pts HH,344,24,1,65,16 Mains/20 Crosses,Head Heavy,2,Classic
104,Wilson,Wilson nTour 95,95,27.25,10.7,0pts EB,330,22,1,61,16 Mains/20 Crosses,Head Heavy,0,Classic
105,Wilson,Wilson nTour Two 105,105,27.25,10.4,3pts HH,339,24,1,65,16 Mains/20 Crosses,Head Heavy,3,Classic
106,Wilson,Wilson n5 Force Midplus,98,27.25,9.8,9pts HH,322,25.5,1,55,16 Mains/20 Crosses,Head Heavy,9,Classic
107,Wilson,Wilson nBlade Midplus,98,27,11.1,2pts HL,340,21,0,58,18 Mains/20 Crosses,Head Light,2,Classic
108,Wilson,Wilson KTour,95,27.25,10.6,1pts HH,331,22,0,64,16 Mains/20 Crosses,Head Heavy,1,Classic
109,Wilson,Wilson Hyper Hammer 6.2 Midplus,95,27.25,9.8,6pts HH,328,25,1,61,16 Mains/20 Crosses,Head Heavy,6,Classic
112,Wilson,Wilson nVision,103,27.25,9.8,4pts HH,324,25,1,62,16 Mains/20 Crosses,Head Heavy,4,Classic
113,Wilson,Wilson nTour Two nCode,95,27.25,10.6,1pts HL,320,22,0,62,16 Mains/20 Crosses,Head Light,1,Classic
114,Wilson,Wilson nBlade Oversize,106,27.3,11.1,4pts HL,335,22,0,60,18 Mains/19 Crosses,Head Light,4,Classic
115,Wilson,Wilson n4 Midplus,101,27.5,9.8,4pts HH,327,28,2,65,16 Mains/19 Crosses,Head Heavy,4,Classic
116,Wilson,Wilson KSix-One Team,95,27,10.9,0pts EB,325,21,1,59,18 Mains/20 Crosses,Head Heavy,0,Classic
117,Wilson,Wilson n3,113,27.5,9.7,7pts HH,328,30,2,47,16 Mains/19 Crosses,Head Heavy,7,Classic
118,Wilson,Wilson W3 Gypsy Rose,113,27.5,9.7,7pts HH,328,31,2,47,16 Mains/19 Crosses,Head Heavy,7,Classic
119,Wilson,Wilson KBlade Team,104,27.3,10.7,4pts HL,320,22,0,57,18 Mains/19 Crosses,Head Light,4,Classic
120,Wilson,Wilson nPro Open X,100,27.5,11.3,8pts HL,328,26,0,66,16 Mains/19 Crosses,Head Light,8,Classic
122,Wilson,Wilson KBlade 98,98,27,11.1,3pts HL,325,20,0,67,18 Mains/20 Crosses,Head Light,3,Classic
123,Wilson,Wilson KFour 112,112,27.5,9.9,8pts HH,345,28,2,73,16 Mains/20 Crosses,Head Heavy,8,Classic
124,Wilson,Wilson PS Blitz,100,27,9.9,2pts HH,307,26,0,57,16 Mains/19 Crosses,Head Heavy,2,Classic
126,Wilson,Wilson ProStaff Tour 95,95,27,11.5,7pts HL,325,20,0,62,18 Mains/20 Crosses,Head Light,7,Classic
128,Wilson,Wilson KFour 105,105,27.25,10.1,3pts HH,322,28,1,73,16 Mains/19 Crosses,Head Heavy,3,Classic
129,Wilson,Wilson Hyper Hammer 6.2 Oversize,110,27.5,9.6,6pts HH,318,27,1,63,16 Mains/20 Crosses,Head Heavy,6,Classic
