,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
267,Head,Head Intelligence i.S2 Oversize,107,27.5,9.2,3pts HH,295,26,2,71,16 Mains/19 Crosses,Head Heavy,3,Classic
268,Head,Head Intelligence i.S4 Midplus,102,27.5,9.8,2pts HH,308,24,1,67,16 Mains/20 Crosses,Head Heavy,2,Classic
269,Head,Head Intelligence i.S4 Oversize,112,27.75,8.7,6pts HH,282,26,2,65,16 Mains/19 Crosses,Head Heavy,6,Classic
270,Head,Head Intelligence i.S6 Midplus,102,27.5,9.6,5pts HH,311,26,1,77,16 Mains/20 Crosses,Head Heavy,5,Classic
271,Head,Head Intelligence i.S6 Oversize,112,27.75,8.3,7pts HH,290,28,2,69,16 Mains/19 Crosses,Head Heavy,7,Classic
272,Head,Head Intelligence i.S9,112,27.75,9.8,1pts HH,314,28,2,73,16 Mains/19 Crosses,Head Heavy,1,Classic
273,Head,Head Intelligence i.speed Midplus,102,27,9.7,4pts HH,294,24,1,68,16 Mains/19 Crosses,Head Heavy,4,Classic
275,Head,Head Intelligence i.x Speed,102,27,9.8,4pts HH,300,24,1,69,16 Mains/19 Crosses,Head Heavy,4,Classic
276,Head,Head Intelligence i.x3 Midplus,98,27,10.5,3pts HL,304,24,1,71,16 Mains/20 Crosses,Head Light,3,Classic
277,Head,Head Intelligence i.x3 Oversize,107,27.5,9.9,2pts HH,316,26,2,70,16 Mains/19 Crosses,Head Heavy,2,Classic
278,Head,Head Intelligence i.x5 Midplus,102,27.5,10.1,1pts HH,302,24,1,66,16 Mains/20 Crosses,Head Heavy,1,Classic
279,Head,Head Intelligence i.x5 Oversize,107,27.75,9.5,4pts HH,315,26,2,65,16 Mains/19 Crosses,Head Heavy,4,Classic
280,Head,Head Intelligence i.x6 Midplus,102,27.5,9.8,6pts HH,316,26,1,73,16 Mains/20 Crosses,Head Heavy,6,Classic
281,Head,Head Intelligence i.x6 Oversize,112,27.75,9.2,5pts HH,305,28.5,2,69,16 Mains/19 Crosses,Head Heavy,5,Classic
282,Head,Head Intelligence ix.11,115,27.75,8.6,11pts HH,308,28.5,2,72,16 Mains/19 Crosses,Head Heavy,1,Classic
283,Head,Head Intelligence ix.16,118,28,9.2,2pts HH,300,28.5,2,67,16 Mains/19 Crosses,Head Heavy,2,Classic
284,Head,Head Liquidmetal Fire,102,27.3,10.5,0pts EB,320,25,0,67,16 Mains/19 Crosses,Head Heavy,0,Classic
285,Head,Head Liquidmetal Heat,102,27.3,10.3,4pts HL,298,25,0,64,18 Mains/19 Crosses,Head Light,4,Classic
286,Head,Head Liquidmetal Instinct Tour XL - 2003,100,27.5,11.8,10pts HL,336,25,0,63,18 Mains/19 Crosses,Head Light,1,Classic
287,Head,Head Premier Tour ,93,27,11.9,4pts HL,329,20,0,60,16 Mains/18 Crosses,Head Light,4,Classic
288,Head,Head Prestige Classic Midsize,93,27,12.3,7pts HL,323,19,0,60,18 Mains/20 Crosses,Head Light,7,Classic
290,Head,Head Pro Tour 280,97,27,12,6pts HL,327,20,0,58,18 Mains/20 Crosses,Head Light,6,Classic
294,Head,Head Radical Tour Oversize,110,27,11.8,6pts HL,332,21,0,61,18 Mains/20 Crosses,Head Light,6,Classic
298,Head,Head Ti.Classic,98,27,11.6,5pts HL,318,21,0,65,18 Mains/20 Crosses,Head Light,5,Classic
299,Head,Head Ti.Fire,102,27,9.7,7pts HH,311,24,0,64,18 Mains/19 Crosses,Head Heavy,7,Classic
304,Prince,Prince O3 Speedport White,100,27,11.2,2pts HL,326,25,0,64,16 Mains/19 Crosses,Head Light,2,Classic
305,Prince,Prince O3 Speedport Red,105,27.25,10.5,1pts HL,321,25,0,65,16 Mains/19 Crosses,Head Light,1,Classic
306,Prince,Prince  O3 Hybrid Shark Midplus,100,27,11.1,2pts HL,324,26,1,65,16 Mains/19 Crosses,Head Light,2,Classic
307,Prince,Prince O3 Tour Oversize,107,27.5,11.2,4pts HL,330,20,0,64,16 Mains/19 Crosses,Head Light,4,Classic
308,Prince,Prince O3 Hybrid Comp,102,27,10.8,3pts HL,318,24,1,63,16 Mains/19 Crosses,Head Light,3,Classic
310,Prince,Prince Triple Threat Warrior Midplus,97,27,11.3,5pts HL,325,23,0,67,16 Mains/20 Crosses,Head Light,5,Classic
311,Prince,Prince Ozone Four,110,27.5,10.3,2pts HH,328,27,2,68,16 Mains/19 Crosses,Head Heavy,2,Classic
313,Prince,Prince Triple Threat Warrior Oversize,107,27.5,11.2,6pts HL,315,23,0,67,16 Mains/19 Crosses,Head Light,6,Classic
314,Prince,Prince Ozone Seven,105,27.25,10.6,1pts HL,325,25,0,71,16 Mains/19 Crosses,Head Light,1,Classic
315,Prince,Prince O3 Hybrid Shark Oversize,110,27.5,10.3,1pts HL,322,28,1,65,16 Mains/19 Crosses,Head Light,1,Classic
316,Prince,Prince Ozone Tour MP,100,27,11.5,6pts HL,321,20,0,60,16 Mains/18 Crosses,Head Light,6,Classic
317,Prince,Prince Original O3 White,100,27,11.3,4pts HL,322,25,0,65,16 Mains/19 Crosses,Head Light,4,Classic
318,Prince,Prince O3 Hybrid Hornet Midplus,100,27,10.6,2pts HL,320,25,1,70,16 Mains/19 Crosses,Head Light,2,Classic
321,Prince,Prince Turbo Shark Oversize,110,27.5,10.4,0pts EB,325,28,2,69,16 Mains/19 Crosses,Head Heavy,0,Classic
322,Prince,Prince O3 Speedport Tour,97,27,11.7,7pts HL,328,21,0,65,16 Mains/18 Crosses,Head Light,7,Classic
323,Prince,Prince O3 Hybrid Spectrum Midplus,100,27,10.7,1pts HL,318,25,1,71,16 Mains/19 Crosses,Head Light,1,Classic
324,Prince,Prince Original O3 Red,105,27.25,10.5,3pts HL,314,26,0,68,16 Mains/19 Crosses,Head Light,3,Classic
325,Prince,Prince O3 Hybrid Tour,95,27,12,8pts HL,337,21,0,67,16 Mains/18 Crosses,Head Light,8,Classic
326,Prince,Prince O Scream Midplus,100,27,10.1,0pts EB,309,25,2,67,16 Mains/19 Crosses,Head Heavy,0,Classic
327,Prince,Prince O3 Speedport Pro White,100,27,11.7,5pts HL,330,25,0,67,18 Mains/19 Crosses,Head Light,5,Classic
328,Prince,Prince Tour Diablo Midplus,100,27.3,11.3,10pts HL,316,19,0,63,16 Mains/18 Crosses,Head Light,1,Classic
329,Prince,Prince O3 Tour Midsize,95,27,12,8pts HL,324,20,0,63,16 Mains/20 Crosses,Head Light,8,Classic
330,Prince,Prince O3 Speedport Gold,115,27.5,9.5,7pts HH,324,27,2,64,16 Mains/19 Crosses,Head Heavy,7,Classic
331,Prince,Prince Tour NXG Graphite Oversize,107,27.5,11.9,11pts HL,328,20,0,63,16 Mains/19 Crosses,Head Light,1,Classic
332,Prince,Prince Tour NXG Graphite Midplus,100,27.25,12.2,9pts HL,326,19,0,63,16 Mains/20 Crosses,Head Light,9,Classic
333,Prince,Prince Shark DB Midplus,100,27,10.5,1pts HL,306,28,1,67,16 Mains/19 Crosses,Head Light,1,Classic
334,Prince,Prince Graphite Longbody,100,28,11.6,13pts HL,321,19,0,63,16 Mains/18 Crosses,Head Light,1,Classic
335,Prince,Prince Graphite Classic Oversize,107,27,12.2,5pts HL,333,19,0,63,16 Mains/19 Crosses,Head Light,5,Classic
336,Prince,Prince O3 Hybrid Lite,109,27,9.7,6pts HH,315,28,2,68,16 Mains/19 Crosses,Head Heavy,6,Classic
337,Prince,Prince Tour Diablo Mid,93,27,12.2,9pts HL,331,19,0,66,16 Mains/20 Crosses,Head Light,9,Classic
338,Prince,Prince O3 Hybrid Hornet Oversize,110,27,10.1,2pts HH,316,28,1,72,16 Mains/19 Crosses,Head Heavy,2,Classic
339,Prince,Prince Original O3 Blue,110,27.5,10.1,2pts HL,308,26,1,66,16 Mains/19 Crosses,Head Light,2,Classic
340,Prince,Prince O3 Citron,110,27.5,10.1,2pts HL,308,26,1,66,16 Mains/19 Crosses,Head Light,2,Classic
341,Prince,Prince O Scream Oversize,110,27,9.9,2pts HH,311,27,2,68,16 Mains/19 Crosses,Head Heavy,2,Classic
342,Prince,Prince O3 Pink,118,27.5,10,7pts HH,330,30,2,74,16 Mains/19 Crosses,Head Heavy,7,Classic
343,Prince,Prince Tour NXG Graphite Mid,92,27,12.3,9pts HL,329,18,0,61,18 Mains/20 Crosses,Head Light,9,Classic
344,Prince,Prince Turbo Outlaw Oversize,110,27.5,10.2,0pts EB,311,26,1,70,16 Mains/19 Crosses,Head Heavy,0,Classic
345,Prince,Prince O3 Speedport Silver,118,27.5,9.5,8pts HH,330,30,2,71,16 Mains/19 Crosses,Head Heavy,8,Classic
346,Prince,Prince Shark DB Oversize,110,27.5,10.5,2pts HL,311,29,1,70,16 Mains/19 Crosses,Head Light,2,Classic
347,Prince,Prince Ozone Pro Tour MP,100,27,12.1,7pts HL,324,20,0,65,18 Mains/20 Crosses,Head Light,7,Classic
348,Prince,Prince Graphite Classic Midplus,93,27,12.1,8pts HL,328,19,0,66,14 Mains/18 Crosses,Head Light,8,Classic
349,Prince,Prince Air Freak Oversize,110,27,10.2,2pts HL,306,26,1,69,16 Mains/19 Crosses,Head Light,2,Classic
351,Prince,Prince Turbo Outlaw Midplus,100,27,10.2,1pts HL,300,26,1,72,16 Mains/20 Crosses,Head Light,1,Classic
353,Prince,Prince Ozone One,118,27.75,9.6,6pts HH,328,30,2,74,16 Mains/19 Crosses,Head Heavy,6,Classic
355,Prince,Prince Original O3 Silver,118,27.75,9.6,5pts HH,325,28,2,74,16 Mains/19 Crosses,Head Heavy,5,Classic
356,Prince,Prince O3 Hybrid Spectrum Oversize,110,27,9.8,0pts EB,300,25,1,68,16 Mains/19 Crosses,Head Heavy,0,Classic
357,Prince,Prince O3 Speedport Platinum,125,27.5,9.5,7pts HH,320,30,2,70,16 Mains/19 Crosses,Head Heavy,7,Classic
358,Prince,Prince EXO3 Red,105,27.25,10.5,1pts HL,321,25,1,67,16 Mains/19 Crosses,Head Light,1,Classic
359,Prince,Prince Tour NXG Graphite 26 Junior,100,26,8.7,5pts HH,253,22,0,60,16 Mains/18 Crosses,Head Heavy,5,Classic
360,Prince,Prince O3 Hybrid 26,100,26,8.2,8pts HH,251,25,1,66,16 Mains/19 Crosses,Head Heavy,8,Classic
361,Prince,Prince Shark 26 Junior,100,26,8.3,6pts HH,247,24,1,66,16 Mains/20 Crosses,Head Heavy,6,Classic
362,Prince,Prince Tour Diablo 25 Junior,100,25,8.6,4pts HH,227,20,2,48,16 Mains/18 Crosses,Head Heavy,4,Classic
363,Prince,Prince Air Freak Midplus,100,27,10.9,2pts HL,330,26,1,70,16 Mains/19 Crosses,Head Light,2,Classic
366,Prince,Prince Graphite Classic 20th Anniv. Midplus,93,27,12,8pts HL,317,19,0,65,14 Mains/18 Crosses,Head Light,8,Classic
367,Prince,Prince Graphite Classic 20th Anniv. Oversize,107,27,12.3,8pts HL,327,19,0,62,16 Mains/19 Crosses,Head Light,8,Classic
368,Prince,Prince Graphite II Oversize,107,27,12.3,8pts HL,330,22,0,66,16 Mains/19 Crosses,Head Light,8,Classic
370,Prince,Prince Michael Chang Titanium Midplus,95,28,11.4,8pts HL,351,20,1,65,14 Mains/18 Crosses,Head Light,8,Classic
371,Prince,Prince Michael Chang Titanium Oversize,107,28,11.6,8pts HL,360,20,1,63,16 Mains/19 Crosses,Head Light,8,Classic
377,Prince,Prince More Control DB 850 Oversize,107,27.25,11.1,9pts HL,300,23,1,69,16 Mains/19 Crosses,Head Light,9,Classic
381,Prince,Prince More Power 1150 S,115,27.5,9.7,1pts HL,316,28,1,74,16 Mains/19 Crosses,Head Light,1,Classic
382,Prince,Prince More Power 1500 S,120,27.75,9.9,2pts HH,333,28,2,74,16 Mains/20 Crosses,Head Heavy,2,Classic
384,Prince,Prince More Precision Oversize,107,27.25,11,7pts HL,309,20,0,68,16 Mains/19 Crosses,Head Light,7,Classic
389,Prince,Prince Precision 730,97,28,11.6,9pts HL,336,25,0,69,14 Mains/18 Crosses,Head Light,9,Classic
395,Prince,Prince Precision Equipe Midplus,95,27,12.6,10pts HL,339,22,0,72,16 Mains/19 Crosses,Head Light,1,Classic
397,Prince,Prince Precision Michael Chang Longbody Midplus,95,28,11.8,11pts HL,330,20,0,62,14 Mains/18 Crosses,Head Light,1,Classic
398,Prince,Prince Precision Michael Chang Longbody Oversize,107,28,11.1,4pts HL,346,20,0,59,16 Mains/19 Crosses,Head Light,4,Classic
399,Prince,Prince Precision Response 660,97,27,11.6,2pts HL,342,23,0,67,16 Mains/19 Crosses,Head Light,2,Classic
401,Dunlop,Dunlop M-Fil 200 Plus \'05,97,27.5,11.5,7pts HL,330,20,0,63,16 Mains/19 Crosses,Head Light,7,Classic
402,Dunlop,Dunlop M-Fil 300,98,27,10.9,3pts HL,317,21.5,0,61,16 Mains/19 Crosses,Head Light,3,Classic
403,Dunlop,Dunlop Aerogel 3Hundred,98,27,10.9,4pts HL,316,21.5,0,61,16 Mains/19 Crosses,Head Light,4,Classic
404,Dunlop,Dunlop Maxply McEnroe,98,27,11.3,3pts HL,327,21,0,68,16 Mains/19 Crosses,Head Light,3,Classic
405,Dunlop,Dunlop M-Fil 400,100,27.25,10.7,0pts EB,318,24,1,70,16 Mains/19 Crosses,Head Heavy,0,Classic
406,Dunlop,Dunlop  Aerogel 500 Tour,100,27,11.1,3pts HL,325,25,1,70,16 Mains/18 Crosses,Head Light,3,Classic
407,Dunlop,Dunlop Aerogel 2Hundred,95,27,11.9,8pts HL,331,20,0,61,18 Mains/20 Crosses,Head Light,8,Classic
408,Dunlop,Dunlop M-Fil 200,95,27,12.1,6pts HL,337,20,0,61,18 Mains/20 Crosses,Head Light,6,Classic
410,Dunlop,Dunlop Aerogel 6Hundred,105,27.25,10.1,1pts HH,310,26,1,69,16 Mains/19 Crosses,Head Heavy,1,Classic
411,Dunlop,Dunlop 200G XL,95,27.5,11.2,9pts HL,303,20,0,56,16 Mains/18 Crosses,Head Light,9,Classic
412,Dunlop,Dunlop  Aerogel 500,100,27,10.3,1pts HL,306,25,1,68,16 Mains/18 Crosses,Head Light,1,Classic
413,Dunlop,Dunlop M-Fil 200 Plus \'06,97,27,11.4,7pts HL,309,20,0,64,16 Mains/19 Crosses,Head Light,7,Classic
414,Dunlop,Dunlop 300G MP,98,27,10.8,4pts HL,300,21.5,0,64,16 Mains/19 Crosses,Head Light,4,Classic
415,Dunlop,Dunlop Roland Garros Racing,100,27,10.3,3pts HL,300,21,0,68,16 Mains/19 Crosses,Head Light,3,Classic
416,Dunlop,Dunlop Aerogel 8Hundred,110,27.5,9.5,6pts HH,312,30,2,70,16 Mains/19 Crosses,Head Heavy,6,Classic
421,Dunlop,Dunlop M-Fil Lady,108,27.5,9.8,0pts EB,296,27,2,69,16 Mains/19 Crosses,Head Heavy,0,Classic
422,Dunlop,Dunlop Aerogel 1000,118,27.5,9.2,7pts HH,312,32,2,69,16 Mains/19 Crosses,Head Heavy,7,Classic
424,Dunlop,Dunlop 200G 26,95,26,9.9,1pts HL,257,20,0,61,18 Mains/20 Crosses,Head Light,1,Classic
425,Dunlop,Dunlop 300G Junior,98,26,9.5,1pts HL,249,21.5,0,60,16 Mains/19 Crosses,Head Light,1,Classic
426,Dunlop,Dunlop 200G 95,95,27,11.9,5pts HL,316,20,0,60,18 Mains/20 Crosses,Head Light,5,Classic
427,Dunlop,Dunlop 300G Oversize,105,27.5,10.6,4pts HL,302,22,1,57,18 Mains/20 Crosses,Head Light,4,Classic
428,Dunlop,Dunlop 400G,100,27.25,10.6,8pts HL,285,24,0,62,16 Mains/19 Crosses,Head Light,8,Classic
435,Dunlop,Dunlop Adrenaline Rush 108,108,27.5,10.6,13pts HL,291,27,1,63,16 Mains/19 Crosses,Head Light,1,Classic
436,Dunlop,Dunlop Adrenaline Rush 98,98,27,10.4,9pts HL,284,26,1,71,16 Mains/19 Crosses,Head Light,9,Classic
437,Dunlop,Dunlop Adrenaline Surge108,108,27.5,10.7,12pts HL,297,27,1,65,16 Mains/19 Crosses,Head Light,1,Classic
438,Dunlop,Dunlop Dunlop Spirit Midplus,100,27,10.2,1pts HL,304,24,1,69,16 Mains/19 Crosses,Head Light,1,Classic
439,Dunlop,Dunlop Dunlop Sprit Oversize,110,27.5,9.6,0pts EB,283,26,1,60,16 Mains/19 Crosses,Head Heavy,0,Classic
440,Dunlop,Dunlop Inferno Oversize,110,27.5,9.4,4pts HH,298,30,2,75,16 Mains/19 Crosses,Head Heavy,4,Classic
445,Dunlop,Dunlop Max Tech Midplus,95,27,9.9,3pts HH,312,26,2,73,16 Mains/19 Crosses,Head Heavy,3,Classic
448,Dunlop,Dunlop Muscle Weave 200g 100,100,27.5,11.6,7pts HL,335,22,1,64,18 Mains/20 Crosses,Head Light,7,Classic
449,Dunlop,Dunlop Muscle Weave 200g 95,95,27,12,7pts HL,315,20,0,59,18 Mains/20 Crosses,Head Light,7,Classic
450,Dunlop,Dunlop Muscle Weave 200g Oversize,108,27.5,9.5,6pts HH,316,27,2,71,18 Mains/20 Crosses,Head Heavy,6,Classic
451,Dunlop,Dunlop Quadro Midplus,102,27.25,10.1,1pts HL,300,26,1,65,16 Mains/19 Crosses,Head Light,1,Classic
452,Dunlop,Dunlop Quadro Oversize,110,27.5,10.1,2pts HL,298,26,1,60,16 Mains/19 Crosses,Head Light,2,Classic
453,Dunlop,Dunlop Revelation 200G +1.00,100,28,11.4,8pts HL,338,20,0,64,18 Mains/20 Crosses,Head Light,8,Classic
454,Dunlop,Dunlop Revelation Lite +1.50 Titanium,112,28.5,9.5,5pts HH,355,28,2,66,18 Mains/20 Crosses,Head Heavy,5,Classic
455,Dunlop,Dunlop Revelation Lite Titanium +0.50,95,27.5,9,5pts HH,307,25,0,66,16 Mains/19 Crosses,Head Heavy,5,Classic
456,Dunlop,Dunlop Revelation Lite Titanium +1.0,100,28,9.5,4pts HH,336,25,0,65,16 Mains/19 Crosses,Head Heavy,4,Classic
457,Dunlop,Dunlop Revelation Select Pro Midplus,95,27,12.5,6pts HL,335,20,0,65,16 Mains/19 Crosses,Head Light,6,Classic
465,Dunlop,Dunlop Vision Midplus,102,27.5,9.3,2pts HH,297,26,1,67,16 Mains/19 Crosses,Head Heavy,2,Classic
466,Dunlop,Dunlop Vision Oversize,110,27.5,9.3,5pts HH,304,26,1,67,16 Mains/19 Crosses,Head Heavy,5,Classic
467,Dunlop,Dunlop Aerogel Titan,101,27,9.6,2pts HL,290,25,0,67,16 Mains/19 Crosses,Head Light,2,Classic
468,Dunlop,Dunlop Aerogel Smoke,100,27.25,10.6,2pts HL,326,24,0,67,16 Mains/19 Crosses,Head Light,2,Classic
469,Dunlop,Dunlop Aerogel Rush,108,27.5,9.6,1pts HL,301,25,1,64,16 Mains/19 Crosses,Head Light,1,Classic
470,Dunlop,Dunlop Aerogel 4D 3Hundred Tour,98,27,11.3,5pts HL,318,20,0,63,18 Mains/20 Crosses,Head Light,5,Classic
471,Dunlop,Dunlop Aerogel 1Hundred 100,90,27,11.7,6pts HL,324,19,0,61,16 Mains/19 Crosses,Head Light,6,Classic
472,Dunlop,Dunlop Aerogel 4D Super-Lite,108,27.5,8.6,7pts HH,290,25,2,65,16 Mains/19 Crosses,Head Heavy,7,Classic
473,Dunlop,Dunlop Aerogel 4D 7Hundred,108,27.25,9.7,2pts HH,306,28,2,72,16 Mains/19 Crosses,Head Heavy,2,Classic
474,Dunlop,Dunlop Aerogel 4D 5Hundred Tour,100,27,11.3,2pts HL,325,25,0,71,16 Mains/18 Crosses,Head Light,2,Classic
475,Dunlop,Dunlop Aerogel 4D 5Hundred,100,27,10.2,0pts EB,300,25,1,66,16 Mains/18 Crosses,Head Heavy,0,Classic
476,Dunlop,Dunlop Aerogel 4D 3Hundred,98,27,10.9,3pts HL,320,21,0,60,16 Mains/19 Crosses,Head Light,3,Classic
477,Dunlop,Dunlop Aerogel 4D 2Hundred,95,27,11.9,7pts HL,337,20,0,62,18 Mains/20 Crosses,Head Light,7,Classic
478,Dunlop,Dunlop Aerogel 4D 5 Fifty Lite,100,27.25,9.4,1pts HH,299,25,1,69,16 Mains/19 Crosses,Head Heavy,1,Classic
479,Dunlop,Dunlop Aerogel 4D 100 (1 Hundred),90,27,11.6,8pts HL,308,19,0,62,16 Mains/19 Crosses,Head Light,8,Classic
480,Dunlop,Dunlop Aerogel 4D 200 Tour (2Hundred),95,27,12.3,5pts HL,352,20,0,60,16 Mains/18 Crosses,Head Light,5,Classic
481,Dunlop,Dunlop Aerogel 4D 3Hundred Lite,98,27,10,2pts HL,294,21,1,66,16 Mains/19 Crosses,Head Light,2,Classic
482,Dunlop,Dunlop Aerogel 4D 500 Lite,100,27,9,9pts HH,291,24.9,2,70,16 Mains/18 Crosses,Head Heavy,9,Classic
483,Dunlop,Dunlop Aerogel 4D 200 (2Hundred),95,27,11.9,7pts HL,337,20,0,62,18 Mains/20 Crosses,Head Light,7,Classic
484,Dunlop,Dunlop Biomimetic 600 Lite - 2011,105,27.25,10.01,3pts HH,316,26,2,69,16 Mains/19 Crosses,Head Heavy,3,Classic
485,Dunlop,Dunlop Biomimetic 300 Tour - 2010,97,27,11.3,6pts HL,304,20,0,64,18 Mains/20 Crosses,Head Light,6,Classic
486,Dunlop,Dunlop Biomimetic 200 Plus - 2010,100,27,11.5,4pts HL,317,20,0,65,18 Mains/20 Crosses,Head Light,4,Classic
487,Dunlop,Dunlop Biomimetic 600 - 2011,102,27,10.4,2pts HL,300,25,1,71,16 Mains/19 Crosses,Head Light,2,Classic
488,Dunlop,Dunlop Biomimetic 300 - 2011,98,27,10.9,2pts HL,308,21,0,66,16 Mains/19 Crosses,Head Light,2,Classic
489,Dunlop,Dunlop Biomimetic 200 Lite - 2011,95,27,11.5,6pts HL,308,21,0,57,16 Mains/19 Crosses,Head Light,6,Classic
490,Dunlop,Dunlop Biomimetic 500 Tour - 2011,100,27,11,3pts HL,313,25,1,65,16 Mains/18 Crosses,Head Light,3,Classic
491,Dunlop,Dunlop Biomimetic 500 - 2011,100,27,10.3,1pts HH,311,25,1,66,16 Mains/18 Crosses,Head Heavy,1,Classic
492,Dunlop,Dunlop Biomimetic 500 Plus - 2011,110,27.5,9.3,6pts HH,314,28.5,2,67,16 Mains/19 Crosses,Head Heavy,6,Classic
493,Dunlop,Dunlop Biomimetic 200 - 2011,95,27,11.9,6pts HL,322,20.5,0,57,18 Mains/20 Crosses,Head Light,6,Classic
494,Dunlop,Dunlop Biomimetic 200 Tour - 2011,95,27,12.5,5pts HL,345,20,0,61,16 Mains/18 Crosses,Head Light,5,Classic
495,Dunlop,Dunlop Biomimetic 100 - 2011,90,27,11.7,5pts HL,323,19,0,61,16 Mains/19 Crosses,Head Light,5,Classic
496,Dunlop,Dunlop Biomimetic 400 Tour - 2011,100,27,11.6,9pts HL,306,24,1,66,16 Mains/19 Crosses,Head Light,9,Classic
497,Dunlop,Dunlop Biomimetic 400 - 2011,100,27,10.9,6pts HL,305,24,1,67,16 Mains/19 Crosses,Head Light,6,Classic
498,Dunlop,Dunlop Biomimetic 400 Lite - 2011,100,27,10.1,2pts HL,298,24,1,67,16 Mains/19 Crosses,Head Light,2,Classic
499,Dunlop,Dunlop Biomimetic 700 - 2012,110,27.25,9.6,0pts EB,297,28,2,63,16 Mains/19 Crosses,Head Heavy,0,Classic
500,Yonex,Yonex RQiS 2 Tour,100,27.5,10.8,4pts HL,326,28,0,67,16 Mains/18 Crosses,Head Light,4,Classic
506,Yonex,Yonex RQiS 1 Tour,95,27,11.9,9pts HL,325,25,0,61,16 Mains/18 Crosses,Head Light,9,Classic
507,Yonex,Yonex RDS 002,98,27,10.9,6pts HL,308,22,0,65,16 Mains/19 Crosses,Head Light,6,Classic
511,Yonex,Yonex RDS 001 Midplus,90,27,12,9pts HL,321,20,0,66,16 Mains/18 Crosses,Head Light,9,Classic
513,Yonex,Yonex MP-Tour 1 Midplus,98,27,12,6pts HL,322,20,0,65,16 Mains/19 Crosses,Head Light,6,Classic
514,Yonex,Yonex MP-Tour 1 Midsize,90,27,12,6pts HL,326,20,0,64,16 Mains/18 Crosses,Head Light,6,Classic
517,Yonex,Yonex RQ Speed 30,102,27,9.6,2pts HH,295,27,1,67,16 Mains/19 Crosses,Head Heavy,2,Classic
524,Yonex,Yonex MP-Tour 1 XF,98,27.5,11.3,5pts HL,329,20,0,65,16 Mains/19 Crosses,Head Light,5,Classic
525,Yonex,Yonex MP-Tour 5,98,27.5,11.2,10pts HL,309,20,0,59,16 Mains/18 Crosses,Head Light,1,Classic
568,Yonex,Yonex S-Fit 3,105,27.25,10.2,0pts EB,310,28,1,68,16 Mains/19 Crosses,Head Heavy,0,Classic
569,Yonex,Yonex S-Fit 1,100,27,11.1,6pts HL,305,26,1,66,16 Mains/19 Crosses,Head Light,6,Classic
570,Yonex,Yonex S-Fit 5,112,27.25,9.9,2pts HH,309,28,2,67,16 Mains/19 Crosses,Head Heavy,2,Classic
571,Yonex,Yonex S-Fit 1 Lite,100,27,10.6,3pts HL,304,26.5,1,69,16 Mains/19 Crosses,Head Light,3,Classic
572,Yonex,Yonex RQiS 30,102,27,9.6,1pts HL,238,26,0,63,16 Mains/18 Crosses,Head Light,1,Classic
573,Yonex,Yonex RQiS 10,102,27.5,10.06,2pts HL,320,26,1,65,16 Mains/18 Crosses,Head Light,2,Classic
574,Yonex,Yonex RDiS 200,98,27,11.7,7pts HL,326,22,0,61,16 Mains/19 Crosses,Head Light,7,Classic
575,Yonex,Yonex RDiS 200 Lite,98,27,11,4pts HL,315,22,1,62,16 Mains/19 Crosses,Head Light,4,Classic
576,Yonex,Yonex Ultimum RD Ti 80,98,27,12.1,8pts HL,315,20.5,0,60,16 Mains/19 Crosses,Head Light,8,Classic
577,Yonex,Yonex V-Con x18,100,27,10.5,3pts HH,313,26.5,1,62,16 Mains/18 Crosses,Head Heavy,3,Classic
578,Yonex,Yonex EZONE 107,107,27,10.4,1pts HL,301,28.5,1,67,16 Mains/18 Crosses,Head Light,1,Classic
579,Yonex,Yonex EZONE 100,100,27,11,6pts HL,300,27,0,68,16 Mains/18 Crosses,Head Light,6,Classic
580,Yonex,Yonex EZONE 100 Lite,100,27,10.2,3pts HL,291,27,1,64,16 Mains/18 Crosses,Head Light,3,Classic
581,Yonex,Yonex RD Ti 80 Lite,98,27,11.6,7pts HL,311,20.5,0,61,16 Mains/19 Crosses,Head Light,7,Classic
582,Yonex,Yonex V Core 95 D,95,27,11.9,7pts HL,317,21.5,0,63,16 Mains/20 Crosses,Head Light,7,Classic
583,Yonex,Yonex V Core 98 D,98,27,11.3,6pts HL,309,22.5,0,65,16 Mains/20 Crosses,Head Light,6,Classic
584,Yonex,Yonex V Core 100 S,100,27,11.1,5pts HL,306,24.5,0,68,16 Mains/19 Crosses,Head Light,5,Classic
585,Yonex,Yonex EZONE Team Plus 102,102,27.5,9.8,4pts HL,296,26.5,1,59,16 Mains/18 Crosses,Head Light,4,Classic
586,Yonex,Yonex EZONE Team 102,102,27,9.7,1pts HH,295,26.5,2,60,16 Mains/18 Crosses,Head Heavy,1,Classic
587,Yonex,Yonex EZONE Rally,107,27,10.1,1pts HH,293,26,2,63,16 Mains/19 Crosses,Head Heavy,1,Classic
588,Yonex,Yonex V Core Team,98,27,10.4,1pts HL,299,24,1,64,16 Mains/20 Crosses,Head Light,1,Classic
589,Yonex,Yonex EZONE Xi 98 - 2012,98,27,11.5,6pts HL,324,24.5,0,63,16 Mains/19 Crosses,Head Light,6,Classic
590,Yonex,Yonex EZONE Xi 100 - 2012,100,27,11,3pts HL,312,27,0,67,16 Mains/18 Crosses,Head Light,3,Classic
